slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,fit_method,fit_min_tprime_hours,n_mono,n_post_fit,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,0.1343977079102765,519.0,monotone_truncated,0.0,4,7,7,0.04217447741714482,-0.06841951779378044,0.5486229270078969,24.0,96.0,0.8598226007214822,0.11555818674642006
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.3542615290592756,4.0,monotone_truncated,0.0,7,13,13,0.7695195265701522,1.211094796422762,0.9806993055486688,24.0,168.0,0.05419150542910807,0.01919796557533986
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.2740580625474965,0.0,monotone_truncated,0.0,6,14,14,0.716357784472037,1.4871746831605657,0.9093924208581559,24.0,144.0,0.1331813159706324,0.03649941342243747
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,0.5744428968401343,63.0,monotone_truncated,0.0,9,13,13,0.4065002699974088,1.0711578281832674,0.9089815770244021,24.0,216.0,0.28314740560885987,0.16265201591072195
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,NEUTRAL,0.054138685424181085,76.0,monotone_truncated,0.0,3,6,6,0.29751196691634696,0.8959654777877707,0.8420594674057704,24.0,72.0,0.9057622270835306,0.04903677628118094
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,hurricane,INFL,0.08873332063655122,48.0,monotone_truncated,0.0,2,14,14,,,,24.0,48.0,0.30541719279598323,0.02710068169628136
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,hurricane,INFL,0.2517050153509067,264.0,monotone_truncated,0.0,0,0,0,,,,,,,
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,EVAC,0.26517036455716164,179.75,monotone_truncated,0.0,1,6,6,,,,24.0,24.0,0.26347951185347307,0.06986695821152844
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.12015515475156385,-1.0,monotone_truncated,0.0,2,12,12,,,,24.0,48.0,0.8246996148718053,0.09909190984847688
hurricane_milton_across_florida_us,milton_fl,hurricane,EVAC,0.24978486737361116,0.0,monotone_truncated,0.0,2,9,9,,,,24.0,48.0,0.46806005115866084,0.11691431780155176
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,0.11278412269549555,280.0,monotone_truncated,0.0,2,2,2,,,,24.0,48.0,0.9946294929322688,0.11217841476743153
park_fire_2024,park_fire1,wildfire,INFL,0.0748461611666952,497.1333333333333,monotone_truncated,0.0,0,0,0,,,,,,,
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,0.05099659824585512,161.13333333333333,monotone_truncated,0.0,4,12,12,0.3091054850268161,0.7842465293383185,0.7425342299517965,24.0,96.0,0.7332697252563911,0.03739426158474874
spain_flood,spain_flood,flood,INFL,0.17253173611773545,120.5,monotone_truncated,0.0,4,5,5,0.13797046294858306,0.30757695840323546,0.8609523279675405,24.0,96.0,0.7658432441196724,0.13213226450200577
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.21728372936322626,36.0,monotone_truncated,0.0,6,14,14,1.351320738638672,3.948422004442263,0.9581729656495171,24.0,144.0,0.5042996337109225,0.10957610512921821
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,NEUTRAL,0.1276342593874752,-9.0,monotone_truncated,0.0,6,29,29,0.7285544883555892,2.5055179643725833,0.8760433268798538,24.0,144.0,0.17022802461871134,0.021726927849202115
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,NEUTRAL,0.09324220719286219,40.0,monotone_truncated,0.0,3,12,12,0.6317932153114241,1.98521234577327,0.9924097014816536,24.0,72.0,0.47079439233909853,0.04389790827571988
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,EVAC,0.08420752974820764,72.0,monotone_truncated,0.0,1,13,13,,,,24.0,24.0,0.7485861109790817,0.06303658720936609
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,EVAC,0.15652832849481607,321.0,monotone_truncated,0.0,0,0,0,,,,,,,
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,tropical_storm,EVAC,0.4383504634886412,36.0,monotone_truncated,0.0,4,11,11,0.7768025888753839,1.9033367641943006,0.9913350668732772,24.0,96.0,0.36594347445469705,0.1604114916378602
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,tropical_storm,EVAC,0.26139022377817134,9.0,monotone_truncated,0.0,8,14,14,0.5287567271812152,1.5276916280972153,0.9257693041805075,24.0,192.0,0.4673606277032606,0.12216349906046191
turkiye_earthquake_2023,turkiye,earthquake,NEUTRAL,0.44013490372719016,16.0,monotone_truncated,0.0,4,34,34,0.24264208926397748,0.3894084099559459,0.9499871909376589,24.0,96.0,0.4656738712221679,0.20495932447863682
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,0.13306421872114038,-13.666666666666666,monotone_truncated,0.0,4,11,11,0.09969924756167121,0.06591675979079982,0.6837361673277729,24.0,96.0,0.6523347964803509,0.086802420038272
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.4797186708940791,29.0,monotone_truncated,0.0,9,10,10,0.6015079042435927,1.6667765699327377,0.9215240716287153,24.0,216.0,0.19989940640331214,0.09589547755231226
