slug,short_name,disaster_type,event_type,t_peak_hours,D_peak,fit_method,tau50_h,tau50_lower_bound
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,519.0,0.1343977079102765,monotone_truncated,168.0,1
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,4.0,0.3542615290592756,monotone_truncated,24.0,0
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.0,0.2740580625474965,monotone_truncated,24.0,0
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,EVAC,63.0,0.5744428968401343,monotone_truncated,96.0,0
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,NEUTRAL,76.0,0.054138685424181085,monotone_truncated,144.0,1
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,hurricane,INFL,48.0,0.08873332063655122,monotone_truncated,24.0,0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,hurricane,INFL,264.0,0.2517050153509067,monotone_truncated,,0
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,EVAC,179.75,0.26517036455716164,monotone_truncated,72.0,0
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,-1.0,0.12015515475156385,monotone_truncated,288.0,1
hurricane_milton_across_florida_us,milton_fl,hurricane,EVAC,0.0,0.24978486737361116,monotone_truncated,48.0,0
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,280.0,0.11278412269549555,monotone_truncated,48.0,1
park_fire_2024,park_fire1,wildfire,INFL,497.1333333333333,0.0748461611666952,monotone_truncated,,0
park_fire_california_29_july_2024,park_fire2,wildfire,INFL,161.13333333333333,0.05099659824585512,monotone_truncated,96.0,0
spain_flood,spain_flood,flood,INFL,120.5,0.17253173611773545,monotone_truncated,120.0,1
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,36.0,0.21728372936322626,monotone_truncated,48.0,0
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,NEUTRAL,-9.0,0.1276342593874752,monotone_truncated,96.0,0
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,NEUTRAL,40.0,0.09324220719286219,monotone_truncated,72.0,0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,EVAC,72.0,0.08420752974820764,monotone_truncated,24.0,0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,EVAC,321.0,0.15652832849481607,monotone_truncated,,0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,tropical_storm,EVAC,36.0,0.4383504634886412,monotone_truncated,48.0,0
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,tropical_storm,EVAC,9.0,0.26139022377817134,monotone_truncated,72.0,0
turkiye_earthquake_2023,turkiye,earthquake,NEUTRAL,16.0,0.44013490372719016,monotone_truncated,96.0,0
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,-13.666666666666666,0.13306421872114038,monotone_truncated,264.0,1
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,29.0,0.4797186708940791,monotone_truncated,72.0,0
