subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,15,-0.6428571428571428,0.009739944695595268
selected_r2_ge_0p8,12,-0.41958041958041964,0.1745190081300594
