group,bin_lo,bin_hi,n_events,mean_Dnorm,std_Dnorm,cv,quality
all,0.0,0.5,13,0.7972887843977241,0.10329646173603284,0.1295596573756691,good
all,0.5,1.0,17,0.690053309854868,0.1328483350070002,0.19251894471014253,good
all,1.0,1.5,21,0.5321365290223018,0.22469662116206793,0.42225370540696505,medium
all,1.5,2.0,11,0.3971283939551063,0.18176160456412108,0.4576897732088843,medium
all,2.0,2.5,15,0.38685532799642,0.20736398316647758,0.5360246277088797,bad
all,2.5,3.0,10,0.37822340714567754,0.21280906794720245,0.562654409871667,bad
EVAC,0.0,0.5,4,0.7426635956681688,0.08299318603557009,0.11175071259673332,good
EVAC,0.5,1.0,7,0.6006935313118499,0.10888009330393608,0.18125730947385715,good
EVAC,1.0,1.5,10,0.388102059406214,0.07800647190703026,0.20099473841076268,good
EVAC,1.5,2.0,7,0.3030640936653108,0.0841360485269045,0.27761800320634566,good
EVAC,2.0,2.5,10,0.307228152256587,0.1409059668864347,0.4586362475296684,medium
EVAC,2.5,3.0,6,0.2692467137358093,0.14411154395185807,0.5352397507561167,bad
INFL,0.0,0.5,5,0.7799375031337608,0.0470307894988719,0.060300715518748466,good
INFL,0.5,1.0,6,0.7967758887398477,0.10690202225762419,0.13416824450686704,good
INFL,1.0,1.5,7,0.6871710597660515,0.252953467675804,0.3681084412401221,medium
INFL,1.5,2.0,1,0.8194943923038172,,,insufficient
INFL,2.0,2.5,2,0.5053469172667686,0.3518532316339313,,insufficient
INFL,2.5,3.0,1,0.6251388361330844,,,insufficient
