distance_band,n_windows,P_max,t_at_P_max,P_min,t_at_P_min,t_flip_start,t_flip_end,P_flip_start,P_flip_end
0-25km,28,0.450392132379165,136.0,0.2186557072936868,304.0,,,,
25-50km,28,-0.0352409501511341,280.0,-0.1060466664995046,136.0,,,,
0-50km,28,0.005328003501782884,280.0,-0.03392442150536884,136.0,256.0,280.0,-0.01342983537498005,0.005328003501782884
50-100km,28,0.0823279209434207,40.0,0.0337081722510329,568.0,,,,
100-200km,28,-0.002161463868156,376.0,-0.0992184940763064,640.0,,,,
200km+,0,,,,,,,,
