window_start_pt,hours_since_quake,0-25km,25-50km,50-100km,100-200km
2024-09-16 08:00:00,-8.0,0.25992426636409055,-0.04332454064078912,0.05461624555799722,-0.061351670028062154
2024-09-17 08:00:00,16.0,0.2522836687127941,-0.04898098075599693,0.06352296070027594,-0.06734095956798622
2024-09-18 08:00:00,40.0,0.24999380476006178,-0.03642203709540024,0.08232792094342077,-0.06825759288204773
2024-09-19 08:00:00,64.0,0.24480545641349152,-0.04232916004881826,0.038527910110769205,-0.055913948123395694
2024-09-20 08:00:00,88.0,0.2679365490242001,-0.05222051674244992,0.06791608788694063,-0.04105856813740744
2024-09-21 08:00:00,112.0,0.24677062552833878,-0.04835991246861319,0.06914034992965447,-0.02602590773818789
2024-09-22 08:00:00,136.0,0.450392132379165,-0.10604666649950467,0.03726129572900976,-0.02473319249752061
2024-09-23 08:00:00,160.0,0.28081880911027923,-0.05286681217947988,0.055666227678538016,-0.02200342673237835
2024-09-24 08:00:00,184.0,0.24131092602529772,-0.05095675078685619,0.07943562084925473,-0.06261718802865797
2024-09-25 08:00:00,208.0,0.21881060587493834,-0.04713656590459802,0.0525340309395463,-0.07636020238511322
2024-09-26 08:00:00,232.0,0.2834967010883727,-0.0414349098895959,0.06443709086042683,-0.0941606022235362
2024-09-27 08:00:00,256.0,0.282719896139466,-0.04297139293456663,0.053430713074566524,-0.049828530643396596
2024-09-28 08:00:00,280.0,0.3024505269069845,-0.035240950151134126,0.07247920470571124,-0.07325192246824358
2024-09-29 08:00:00,304.0,0.21865570729368683,-0.056404118633164066,0.034535874565949455,-0.03840109975579551
2024-09-30 08:00:00,328.0,0.2809758344593173,-0.03751592018161905,0.07902135405837622,-0.014924959786392536
2024-10-01 08:00:00,352.0,0.29422799615024753,-0.044270933433786464,0.05424186119297162,-0.07514749918658986
2024-10-02 08:00:00,376.0,0.2573223798170053,-0.048919327467300586,0.07016364184914574,-0.0021614638681560876
2024-10-03 08:00:00,400.0,0.24642195784094945,-0.0356280110441949,0.04573084879668706,-0.05565620893894787
2024-10-04 08:00:00,424.0,0.2787925290282957,-0.05091901230073608,0.05083850235506538,-0.004024878225076466
2024-10-05 08:00:00,448.0,0.326280839410688,-0.07069371051251606,0.07077640349688795,-0.03625621873479237
2024-10-06 08:00:00,472.0,0.2899085701748508,-0.04210185239161854,0.07595309370185696,-0.0312073571057289
2024-10-07 08:00:00,496.0,0.2698907205782326,-0.037833788649209533,0.05169839508910615,-0.05120431850868581
2024-10-08 08:00:00,520.0,0.2622518248221854,-0.04073268145820766,0.0696506076488168,-0.057164040496594536
2024-10-09 08:00:00,544.0,0.2724525939347974,-0.04162073265688904,0.0633151170908435,-0.057366791025575486
2024-10-10 08:00:00,568.0,0.31153129591287815,-0.03825266854291338,0.03370817225103297,-0.020234090890705738
2024-10-11 08:00:00,592.0,0.28076344529746433,-0.05118724338836917,0.04406400112312952,-0.03961197818486502
2024-10-12 08:00:00,616.0,0.31468953896903373,-0.05053523423041629,0.06297109517751687,-0.0723911628067759
2024-10-13 08:00:00,640.0,0.3929392080351732,-0.07909048771928782,0.046089728461817005,-0.09921849407630647
