r_bin_km,u1,u2
0.0,0.4216787939262957,-0.20757195967121228
10.0,0.22330939916502884,-0.10148394668028791
20.0,0.2396594785926366,0.19086230221493716
30.0,0.01530291265469948,0.24867854982827245
40.0,-0.03186008874824809,0.23273386367896626
50.0,0.15231277014341463,0.11439486384326118
60.0,0.031344215063643016,-0.037912321902428756
70.0,-0.004571052215239874,0.02469911465323058
80.0,-0.18585019896841656,0.044935616158083835
90.0,-0.09998611820513029,0.11480476965685105
100.0,0.2765194036318924,-0.18094702684927363
110.0,-0.3072876643750375,0.06586153072524359
120.0,-0.18877607926536463,0.025996759222011077
130.0,0.45310502141371406,-0.08195954939579214
140.0,-0.17859783131295145,0.23628660907219157
150.0,0.022817410361972646,0.20354282921588818
160.0,0.407207317050377,0.5863629214644642
170.0,0.03775849335150561,0.35403930690421354
180.0,-0.11029672427852392,0.3620468683450487
190.0,0.0902294799881979,0.14449342394559256
200.0,-0.11444053331953553,0.03149724378899295
