hours_since_quake,v1,v2,g1,g2
0.0,-0.8783769347465783,0.3636576838039905,-0.6474585958645893,0.16747926006704753
24.0,-0.2672202110286452,-0.007383171200650462,-0.19697013409073902,-0.0034002527781036964
48.0,-0.19818022920169306,-0.1280372968384583,-0.14608021664875634,-0.05896642004420811
72.0,-0.19645558797428822,-0.42959327054899027,-0.1448089699398615,-0.19784529871258655
96.0,-0.02957064241202916,-0.04038224514233584,-0.02179675473881841,-0.018597678084343334
120.0,-0.12438083068605411,-0.27673851472992705,-0.09168209546815805,-0.1274494221989359
144.0,-0.03370766065815972,-0.0016900242800102533,-0.0248461836556634,-0.000778325410178934
168.0,-0.1287072700258863,-0.28267922049889666,-0.09487114817349718,-0.1301853605573822
192.0,-0.08830125334062047,-0.28674457931691083,-0.06508755323532728,-0.1320576248242223
216.0,-0.0683322900811053,-0.24503608279708608,-0.05036827225078338,-0.1128491536527062
240.0,-0.16724832327888922,-0.4829351634013746,-0.12328006379413681,-0.22241142543935813
264.0,0.023721131698306697,-0.09239158338419912,0.017485034060162042,-0.04255010882692861
288.0,0.019301194227976937,-0.18265963143476582,0.014227063142272867,-0.08412224264537459
312.0,-0.06129186988786565,-0.30205474312326086,-0.04517872276207009,-0.1391085824142587
