k,sigma,energy_frac,energy_cum
1,0.7371079205892268,0.6077947886654543,0.6077947886654543
2,0.4605409634553959,0.23726372612703137,0.8450585147924858
3,0.28815825408697204,0.09288742945450723,0.9379459442469931
4,0.17077686068325107,0.03262517635100573,0.9705711205979988
5,0.09557876454683689,0.010219217469280261,0.980790338067279
6,0.07761444487528187,0.0067387590394002595,0.9875290971066792
7,0.0640053824089933,0.0045827673419237495,0.992111864448603
8,0.05755250994617044,0.0037052998028274165,0.9958171642514304
9,0.03558356192297731,0.0014164252299496277,0.9972335894813801
10,0.03403604611321533,0.0012959045745906347,0.9985294940559707
11,0.02241188791369796,0.0005618905133842768,0.9990913845693549
12,0.021349977160353403,0.0005099054404479205,0.9996012900098029
