removed_slug,n_after_remove,spearman_rho,spearman_p
flooding_in_central_and_eastern_europe_sept_16_2024,13,-0.5274725274725275,0.0639548914835548
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,13,-0.40659340659340654,0.16797834614789645
hurricane_beryl_across_southeastern_texas_us,13,-0.41208791208791207,0.1617510527725265
hurricane_john_across_southeastern_guerrero_mexico,13,-0.5274725274725275,0.0639548914835548
hurricane_john_southern_mexico_25_september_2024,13,-0.5934065934065934,0.03252444027009706
hurricane_milton_across_florida_us,13,-0.5494505494505494,0.05177062555916278
moldova_flooding_2024,13,-0.5494505494505494,0.05177062555916278
spain_flood,13,-0.6428571428571429,0.017792450692375714
the_flooding_across_bagmati_and_koshi_provinces_nepal,13,-0.6153846153846153,0.025167116551899325
the_flooding_across_eastern_bangladesh,13,-0.5054945054945055,0.07803332731018385
the_flooding_across_gujarat_india,13,-0.39560439560439564,0.18088916310494077
turkiye_earthquake_2023,13,-0.5274725274725275,0.0639548914835548
typhoon_yagi_across_northeastern_vietnam,13,-0.40659340659340654,0.16797834614789645
wildfires_in_boise_county_idaho_27_august_2024,13,-0.5274725274725275,0.0639548914835548
