slug,short_name,disaster_type,event_type,t_peak_hours,D_peak,tau50_h,tau50_lower_bound
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,monsoon,EVAC,528.0,0.2787893232210855,24.0,0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,456.0,0.10140977225297246,168.0,1
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,NEUTRAL,168.0,0.04988296177968236,,0
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,72.0,0.10301149441804595,144.0,1
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,48.0,0.1205143778917579,312.0,1
hurricane_melissa_10_27_2025,melissa,hurricane,NEUTRAL,48.0,0.4859721502432578,264.0,0
india_monsoon_season_study_2024_05_09_nct_delhi_up_bihar,india_monsoon_season_s,monsoon,INFL,168.0,0.20452273782169444,120.0,0
line_fire_southern_california_9_september_2024,line_fire,wildfire,INFL,304.0,0.11161292058009191,24.0,1
moldova_flooding_2024,moldova,flood,INFL,456.0,0.058662951664797056,192.0,1
pakistan_monsoon_season_study_sindh_2024_05_09,pakistan_monsoon_seaso,monsoon,INFL,144.0,0.09865752326252827,288.0,0
park_fire_2024,park_fire1,wildfire,INFL,384.0,0.05979896843791539,,0
park_fire_california_29_july_2024,park_fire2,wildfire,NEUTRAL,264.0,0.03387571160755359,72.0,1
spain_flood,spain_flood,flood,INFL,96.0,0.13305641705151502,120.0,1
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,0.0,0.18936627469120573,24.0,0
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,24.0,0.07899557914859343,24.0,0
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,24.0,0.12328359603960092,144.0,1
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,INFL,288.0,0.10100130445168405,48.0,0
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,flood,INFL,144.0,0.17875277639742135,,0
the_flooding_in_conakry_city_conakry_guinea,the_flooding_in_conakr,flood,INFL,168.0,0.08482401597164912,120.0,1
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,NEUTRAL,16.0,0.08872607418470607,96.0,0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,EVAC,0.0,0.07451807214629744,96.0,0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,EVAC,240.0,0.08546964172429679,24.0,1
turkiye_earthquake_2023,turkiye,earthquake,INFL,16.0,0.40114008822652447,816.0,1
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,144.0,0.11423649525527046,96.0,1
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,29.0,0.3173934156827427,72.0,0
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,144.0,0.13702819190526905,24.0,0
