group,bin_lo,bin_hi,n_events,mean_Dnorm,std_Dnorm,cv,quality
all,0.0,0.5,16,0.8014319281945487,0.13003118755027415,0.16224857405320256,good
all,0.5,1.0,16,0.7558072555834193,0.13067100588987943,0.17288932452628078,good
all,1.0,1.5,23,0.621928290994777,0.20891577019547083,0.3359161710770693,medium
all,1.5,2.0,6,0.5046283080440174,0.15825556516785286,0.3136081798131084,medium
all,2.0,2.5,10,0.47374859781924544,0.14757661497372188,0.31150828868527525,medium
all,2.5,3.0,5,0.5959468878097,0.2213866008108906,0.3714871330640871,medium
EVAC,0.0,0.5,3,0.7095097792794561,0.17201221143595669,0.24243811214363245,good
EVAC,0.5,1.0,3,0.6324503638483351,0.11186232566799777,0.1768713120620845,good
EVAC,1.0,1.5,6,0.5168859581034931,0.12482774736034324,0.241499590776946,good
EVAC,1.5,2.0,2,0.4005808123351285,0.11875418248951942,,insufficient
EVAC,2.0,2.5,4,0.3811638201368349,0.13514555819329807,0.3545602994134696,medium
EVAC,2.5,3.0,2,0.5635368958681156,0.3308603568153706,,insufficient
INFL,0.0,0.5,10,0.7846772281438117,0.10566785287587366,0.1346641002005826,good
INFL,0.5,1.0,11,0.769960329653781,0.12601969227077478,0.16367037030003945,good
INFL,1.0,1.5,14,0.672930938996044,0.21322063018599344,0.31685365886743233,medium
INFL,1.5,2.0,3,0.5077621517260236,0.15805259698036012,0.3112728990199363,medium
INFL,2.0,2.5,5,0.5202701010552742,0.13886841091293303,0.26691599350272766,good
INFL,2.5,3.0,2,0.7194330304656568,0.14422760288938477,,insufficient
