removed_slug,n_after_remove,spearman_rho,spearman_p
cambodia_monsoon_season_study_2024_05_09,14,0.17362637362637365,0.5527669411422413
flooding_in_central_and_eastern_europe_sept_16_2024,14,0.15164835164835166,0.6047905984521367
hurricane_john_across_southeastern_guerrero_mexico,14,0.221978021978022,0.445629657953609
hurricane_john_southern_mexico_25_september_2024,14,0.1384615384615385,0.6368849912650185
hurricane_melissa_aftermath_2025_11_03,14,0.1032967032967033,0.725282211088945
moldova_flooding_2024,14,0.16043956043956045,0.583752752641341
spain_flood,14,0.07252747252747253,0.8053763135410923
the_earthquake_across_central_mexico,14,0.032967032967032975,0.9109186530718452
the_flooding_across_rio_grande_do_sul_state_brazil,14,0.09010989010989012,0.7593388378159543
the_wildfires_in_quito_pichincha_province_ecuador,14,0.2351648351648352,0.4183338961985915
tropical_storm_debby_united_states_pre_landfall_4_august_2024,14,0.1252747252747253,0.6695823965448445
turkiye_earthquake_2023,14,0.16923076923076924,0.5630172739962107
typhoon_krathon_across_taiwan,14,0.07252747252747253,0.8053763135410923
typhoon_yagi_across_northeastern_vietnam,14,0.3406593406593406,0.23331605103682382
wildfires_in_boise_county_idaho_27_august_2024,14,0.16043956043956045,0.583752752641341
