slug,country_iso3,country_name,year_indicator,HDI,GDP_per_capita_PPP,INFORM_risk,INFORM_lack_coping,INFORM_vulnerability,data_source_notes
flooding_in_central_and_eastern_europe_sept_16_2024,POL,Poland,2024,0.906,50378,1.6,2.9,1.0,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
beryl_qr,MEX,Mexico,2024,0.789,25688,4.9,4.5,3.9,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
beryl_tx,USA,United States,2024,0.938,85810,3.4,2.1,3.0,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
beryl_pre,JAM,Jamaica,2024,0.720,11662,3.1,3.6,2.5,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
john_gue,MEX,Mexico,2024,0.789,25688,4.9,4.5,3.9,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
john_sm,MEX,Mexico,2024,0.789,25688,4.9,4.5,3.9,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
milton_fl,USA,United States,2024,0.938,85810,3.4,2.1,3.0,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
moldova,MDA,Moldova,2024,0.785,18717,2.8,4.5,1.8,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
spain_flood,ESP,Spain,2024,0.918,56926,2.1,1.7,2.4,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
the_earthquake_across_central_mexico,MEX,Mexico,2024,0.789,25688,4.9,4.5,3.9,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
nepal_fld,NPL,Nepal,2024,0.622,5736,5.0,5.7,4.3,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
bangladesh_fld,BGD,Bangladesh,2024,0.685,9646,5.7,5.0,5.4,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
gujarat_fld,IND,India,2024,0.685,11159,5.2,4.4,4.8,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
turkiye,TUR,Türkiye,2023,0.853,43932,4.9,3.1,4.8,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067 (closest to event yr 2023)"
yagi_vn,VNM,Vietnam,2024,0.766,16386,3.7,4.2,2.2,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
boise_fire,USA,United States,2024,0.938,85810,3.4,2.1,3.0,"HDI: UNDP HDR 2024/25 (ref yr 2023); GDP PPP: World Bank 2023 current int$; INFORM: INFORM Risk 2024 v067"
