pair,rho,p,n
D_peak vs alpha (raw),0.6,0.014007122329599993,16
D_peak vs alpha | HDI,0.6038690372059295,0.017130726552200822,16
D_peak vs alpha | GDP_per_capita_PPP,0.6050174488663296,0.01686489909517428,16
D_peak vs alpha | INFORM_risk,0.6101108934580992,0.015723945619923203,16
D_peak vs alpha | INFORM_lack_coping,0.6049114545615818,0.01688930019625274,16
D_peak vs alpha | INFORM_vulnerability,0.6235361973194247,0.01300066614136226,16
D_peak vs alpha | HDI+delta_near,0.6298489134117532,0.021048405676189614,16
D_peak vs alpha | INFORM_lack_coping+delta_near,0.6239128003567601,0.02267294358909982,16
D_peak vs alpha | GDP_per_capita_PPP+delta_near,0.629475069230988,0.02114808417888032,16
