pair,rho,p,n
HDI vs D_peak,0.0,1.0,16
HDI vs alpha,-0.11301818103162639,0.6768676881035398,16
GDP_per_capita_PPP vs D_peak,0.008915786895268651,0.9738575664657743,16
GDP_per_capita_PPP vs alpha,-0.11441926515594768,0.6730675289503547,16
INFORM_risk vs D_peak,0.11379081716788929,0.6747711573004228,16
INFORM_risk vs alpha,-0.047911923018058654,0.8601355385481264,16
INFORM_lack_coping vs D_peak,-0.20662016801537791,0.44261767097623894,16
INFORM_lack_coping vs alpha,-0.041922932640801325,0.8774871055916817,16
INFORM_vulnerability vs D_peak,0.12788899432526146,0.6369225117799593,16
INFORM_vulnerability vs alpha,-0.11301818103162639,0.6768676881035398,16
HDI vs delta_near,0.3390545430948792,0.19890872259779444,16
GDP_per_capita_PPP vs delta_near,0.3313700796074848,0.20993103066514862,16
INFORM_risk vs delta_near,-0.15571374980869063,0.5647086382460761,16
INFORM_lack_coping vs delta_near,-0.11678531235651797,0.6666669427039742,16
INFORM_vulnerability vs delta_near,-0.004461243988090516,0.9869173999661498,16
