pair,rho,p,n
delta_near vs alpha (raw),-0.5264705882352941,0.036166514972245475,16
delta_near vs alpha | HDI,-0.5222326041791197,0.04582427111784352,16
delta_near vs alpha | GDP_per_capita_PPP,-0.5212345464272629,0.04631492050100144,16
delta_near vs alpha | INFORM_risk,-0.5411458007838684,0.037234882399730315,16
delta_near vs alpha | INFORM_lack_coping,-0.5354984521081732,0.03966183615220103,16
delta_near vs alpha | INFORM_vulnerability,-0.5303782097021603,0.0419623315262421,16
