subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,15,-0.7464285714285712,0.001391411089063054
selected_r2_ge_0p8,12,-0.6433566433566434,0.024003191200713647
