slug,route_b_selected,drop_reason_primary,n_time_windows,t_peak_hours,n_total_post,n_mono,near_delta_peak_windows_mean,policy_recommendation,policy_reason
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,True,selected,14,63.0,13,9,-0.4043102839178534,keep_event_level,窗口与单调段满足当前门槛
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,False,data_quality_short_post_peak,12,264.0,0,0,0.1743755540274281,pre_landfall_only,peak后无可拟合窗口
tropical_storm_debby_united_states_pre_landfall_4_august_2024,False,analysis_n_mono_lt_threshold,15,72.0,13,1,-0.0278296267866194,pre_landfall_only,peak后单调段不足且峰值偏晚
