removed_slug,n_after_remove,spearman_rho,spearman_p
flooding_in_central_and_eastern_europe_sept_16_2024,14,-0.745054945054945,0.002230037316742074
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,14,-0.7538461538461538,0.0018447252892572188
hurricane_beryl_across_southeastern_texas_us,14,-0.7802197802197802,0.0009944938002309496
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,14,-0.8241758241758241,0.00028870384974594377
park_fire_california_29_july_2024,14,-0.7362637362637363,0.0026764473596131958
spain_flood,14,-0.7406593406593407,0.002445197640446023
the_earthquake_across_central_mexico,14,-0.7758241758241758,0.0011084786677787394
the_flooding_across_bagmati_and_koshi_provinces_nepal,14,-0.7978021978021977,0.0006282758224581754
the_flooding_across_rio_grande_do_sul_state_brazil,14,-0.7362637362637363,0.0026764473596131958
the_wildfires_in_quito_pichincha_province_ecuador,14,-0.7362637362637363,0.0026764473596131958
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,14,-0.7714285714285714,0.0012326572868001857
tropical_storm_yagi_philippines_2_september_2024,14,-0.767032967032967,0.0013676823882456158
turkiye_earthquake_2023,14,-0.7362637362637363,0.0026764473596131958
typhoon_krathon_across_taiwan,14,-0.7406593406593407,0.002445197640446023
typhoon_yagi_across_northeastern_vietnam,14,-0.7758241758241758,0.0011084786677787394
