slug,short_name,name,disaster_type,output_root,n_time_windows,n_time_windows_raw,median_step_hours_raw,daily_avg_applied,t_peak_hours,D_peak,event_type,near_delta_peak_windows_mean,D_inf
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,Flooding In Central And Eastern Europe Sept 16 2024,flood,outputs/_runs/main_current_h0816_20260223,28,81,8.0,1,416.0,0.10385152138755832,INFL,0.06622450193020853,0.8214581784514978
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/main_current_h0816_20260223,15,42,8.0,1,-12.0,0.1242783818072858,EVAC,-0.12970665068182327,0.2701261086874698
hurricane_beryl_across_southeastern_texas_us,beryl_tx,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/main_current_h0816_20260223,16,45,8.0,1,8.0,0.21757326670725943,EVAC,-0.26411686492594094,0.13407960601847999
hurricane_beryl_pre_landfall_2024,beryl_pre,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/main_current_h0816_20260223,33,96,8.0,1,32.0,0.18221130403887567,NEUTRAL,,0.22703964963611378
hurricane_john_across_southeastern_guerrero_mexico,john_gue,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/main_current_h0816_20260223,8,21,8.0,1,200.0,0.09636746485944718,INFL,0.07363025263311081,0.8253949827367133
hurricane_john_southern_mexico_25_september_2024,john_sm,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/main_current_h0816_20260223,16,45,8.0,1,296.0,0.09375778747390284,INFL,0.07183959746423305,0.8036081431734764
hurricane_milton_across_florida_us,milton_fl,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/main_current_h0816_20260223,11,30,8.0,1,-8.0,0.2493944243998009,EVAC,-0.044883050554505144,0.45971114884646286
moldova_flooding_2024,moldova,Moldova Flooding Sept 16 2024,flood,outputs/_runs/main_current_h0816_20260223,29,84,8.0,1,648.0,0.07644524813347134,INFL,0.03855176761570557,
spain_flood,spain_flood,Spain Flood (Valencia and Castilla-La Mancha Regions),flood,outputs/_runs/main_current_h0816_20260223,11,30,8.0,1,104.0,0.12242049224548605,INFL,0.1322775268901986,0.8173375688100919
the_earthquake_across_central_mexico,the_earthquake_across_,The Earthquake Across Central Mexico,earthquake,outputs/_runs/main_current_h0816_20260223,5,13,8.0,1,32.0,0.24759529687456974,INFL,0.25048946838167174,0.3869447158247225
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,outputs/_runs/main_current_h0816_20260223,16,45,8.0,1,336.0,0.14402853334801305,EVAC,-0.040177615055430146,
the_flooding_across_eastern_bangladesh,bangladesh_fld,The Flooding Across Eastern Bangladesh,flood,outputs/_runs/main_current_h0816_20260223,13,36,8.0,1,8.0,0.0877116524612791,INFL,0.050728738702041344,0.5049916436409132
the_flooding_across_gujarat_india,gujarat_fld,"The Flooding Across Gujarat, India",flood,outputs/_runs/main_current_h0816_20260223,9,24,8.0,1,128.0,0.10725041591610836,EVAC,-0.07569699644475897,0.7724312091320603
turkiye_earthquake_2023,turkiye,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,outputs/_runs/main_current_h0816_20260223,36,107,8.0,1,8.0,0.3565980804269134,INFL,0.03375628520912457,0.6237477350986944
typhoon_yagi_across_northeastern_vietnam,yagi_vn,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/main_current_h0816_20260223,12,33,8.0,1,21.0,0.2914427860091868,EVAC,-0.4845434252653976,0.2583003130390021
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,Wildfires In Boise County Idaho 27 August 2024,wildfire,outputs/_runs/main_current_h0816_20260223,16,45,8.0,1,128.0,0.09426443243894049,INFL,0.05928760826248058,0.5527456113557215
