window_start_pt,hours_since_quake,n_rows,n_od_pairs_nonnull,n_with_n_crisis,dist_p50_km,dist_p90_km,dist_p99_km,n_baseline_p50,n_baseline_p90,n_baseline_p99,n_crisis_p50,n_crisis_p90,n_crisis_p99
2023-02-05 08:00:00,-8.0,31589,31589,28230,1.8417237748646644,5.773603707492071,14.75049271987712,22.33333333333333,195.93333333333368,2558.0933333333314,22.0,205.0,2713.5499999999956
2023-02-05 16:00:00,0.0,32844,32844,29291,1.9148227962193611,7.948969721622732,18.441786343883784,21.0,140.66666666666666,1576.5,20.0,143.0,1840.9999999999854
2023-02-06 08:00:00,16.0,49584,49584,43262,2.6880920949751292,11.066932304272626,23.284182122728172,21.5,118.0,1513.7216666666645,20.0,115.0,1739.3899999999994
2023-02-06 16:00:00,24.0,32825,32825,28234,1.8828633667079704,7.871018052298602,18.509213009945604,20.83333333333333,140.16666666666666,1594.575,20.0,148.0,1781.3499999999913
2023-02-07 08:00:00,40.0,48643,48643,41812,2.643216206518124,10.811704852502253,22.622455280794217,21.5,116.66666666666669,1502.4900000000005,21.0,120.0,1743.8899999999994
2023-02-07 16:00:00,48.0,32148,32148,27708,1.881482668715212,7.796698606212427,17.471229994142792,21.0,140.66666666666666,1581.1166666666675,20.0,146.0,1707.5800000000017
2023-02-08 08:00:00,64.0,49021,49021,43131,2.649089176494521,10.830881518656536,22.700042477561233,21.5,117.0,1502.2183333333317,21.0,118.0,1736.699999999997
2023-02-08 16:00:00,72.0,32329,32329,28277,1.8888409236629056,7.899246965770259,18.047694474196557,21.0,140.83333333333334,1584.6133333333285,20.0,144.0,1688.239999999998
2023-02-09 08:00:00,88.0,49295,49295,44174,2.6621201231170364,11.065653879563978,22.633820480980113,21.571428571428573,117.42857142857144,1505.5028571428504,20.0,115.0,1676.0
2023-02-09 16:00:00,96.0,32572,32572,28972,1.892973883750049,7.9000929451818696,18.433474566400317,21.0,142.71428571428572,1601.8495566698261,20.0,140.0,1693.2900000000009
2023-02-10 08:00:00,112.0,49299,49299,44574,2.693271024700567,11.096639722780585,22.911374337465777,21.428571428571427,117.85714285714286,1514.4514285714279,20.0,115.0,1631.5399999999936
2023-02-10 16:00:00,120.0,27524,27524,24922,1.8384741288198223,5.882648229692514,15.044448916678707,21.285714285714285,190.99590458446303,1762.7665547892748,20.0,179.0,1892.7400000000052
2023-02-11 08:00:00,136.0,43083,43083,39341,1.948498550098592,8.566508800712615,20.1800222495062,21.714285714285715,137.0,1865.1714285714363,21.0,130.0,1976.5999999999985
2023-02-11 16:00:00,144.0,21488,21488,19826,0.0,2.759416441680177,9.25614935127772,23.0,293.3714285714286,1987.1480661406015,22.0,267.0,2148.75
2023-02-12 08:00:00,160.0,34409,34409,31877,1.8433479383761708,5.838712293723621,15.189382216999865,22.33333333333333,195.93333333333368,2558.0933333333314,21.0,172.40000000000146,2591.239999999998
2023-02-12 16:00:00,168.0,33477,33477,30568,1.9126555867417017,8.243702221140056,18.771708220487422,21.0,140.66666666666666,1576.5,20.0,132.0,1663.6399999999849
2023-02-13 08:00:00,184.0,50856,50856,47161,2.7255106318190148,11.394162429704842,23.57726138737691,21.5,118.0,1513.7216666666645,21.0,112.0,1554.0000000000073
2023-02-13 16:00:00,192.0,33762,33762,30948,1.9133401415196425,8.243702221139817,19.027013916033805,20.83333333333333,140.16666666666666,1594.575,20.0,131.0,1650.7099999999919
2023-02-14 08:00:00,208.0,51327,51327,47803,2.7300053667968847,11.395735207693184,24.110416240341824,21.5,116.66666666666669,1502.4900000000005,21.0,110.0,1503.9400000000096
2023-02-14 16:00:00,216.0,33871,33871,31187,1.9147087808883256,8.235401016394391,18.822066324907006,21.0,140.66666666666666,1581.1166666666675,20.0,130.0,1652.5599999999977
2023-02-15 08:00:00,232.0,50730,50730,47249,2.7235828422012083,11.259182204840494,23.7026484737919,21.5,117.0,1502.2183333333317,21.0,112.0,1540.5199999999968
2023-02-15 16:00:00,240.0,33666,33666,31017,1.9129978800212606,8.222944407775874,18.63245085041287,21.0,140.83333333333334,1584.6133333333285,20.0,131.0,1633.5200000000004
2023-02-16 08:00:00,256.0,50789,50789,47355,2.7261530327742225,11.372637190998375,23.865271664236566,21.571428571428573,117.42857142857144,1505.5028571428504,21.0,111.0,1528.9199999999983
2023-02-16 16:00:00,264.0,33365,33365,30888,1.913111959372065,8.19309586766416,18.83912570395842,21.0,142.71428571428572,1601.8495566698261,20.0,133.0,1651.390000000003
2023-02-17 08:00:00,280.0,50262,50262,47023,2.7255106318190148,11.352048557198366,23.895602147475365,21.428571428571427,117.85714285714286,1514.4514285714279,20.0,110.80000000000291,1506.2399999999907
2023-02-17 16:00:00,288.0,28140,28140,26229,1.8433479383761708,6.1016070204984185,15.578733338886304,21.285714285714285,190.99590458446303,1762.7665547892748,20.0,168.0,1840.7600000000093
2023-02-18 08:00:00,304.0,43980,43980,41122,1.9601930204272755,9.251747486772441,20.866766680709215,21.714285714285715,137.0,1865.1714285714363,20.0,123.0,1835.7400000000052
2023-02-18 16:00:00,312.0,21831,21831,20537,0.0,3.6987527819455672,10.73088029132702,23.0,293.3714285714286,1987.1480661406015,21.0,253.0,2101.0
2023-02-19 08:00:00,328.0,34629,34629,32563,1.8468266813406904,6.098735641753755,17.415712070893775,22.33333333333333,195.93333333333368,2558.0933333333314,21.0,164.0,2474.140000000003
2023-02-19 16:00:00,336.0,34240,34240,32094,1.9281354660659624,8.299246030660612,19.103366290124775,21.0,140.66666666666666,1576.5,20.0,126.0,1617.4199999999983
2023-02-20 08:00:00,352.0,52304,52304,49370,2.7594164416804827,11.63986375463101,24.299272401594944,21.5,118.0,1513.7216666666645,20.0,110.0,1478.0
2023-02-20 16:00:00,360.0,35024,35024,32875,1.9281354660659624,8.301152796145892,19.171453304459614,20.83333333333333,140.16666666666666,1594.575,20.0,128.0,1671.5199999999968
2023-02-21 08:00:00,376.0,51698,51698,48477,2.752403921859975,11.425004056829918,24.037330646144817,21.5,116.66666666666669,1502.4900000000005,21.0,111.0,1460.239999999998
2023-02-21 16:00:00,384.0,34620,34620,32427,1.9269999148322152,8.241627295844179,18.813611854897054,21.0,140.66666666666666,1581.1166666666675,20.0,128.0,1633.6999999999898
2023-02-23 08:00:00,424.0,51450,51450,48292,2.7460174578869228,11.394302743281605,23.9635125714899,21.571428571428573,117.42857142857144,1505.5028571428504,20.0,110.0,1443.359999999986
2023-02-23 16:00:00,432.0,34175,34175,32069,1.9160768417038003,8.123614555908576,18.58487043987091,21.0,142.71428571428572,1601.8495566698261,20.0,130.0,1616.199999999997
2023-02-24 08:00:00,448.0,50752,50752,47752,2.743779657738655,11.352048557198904,23.98200562015303,21.428571428571427,117.85714285714286,1514.4514285714279,20.0,109.0,1407.979999999996
2023-02-24 16:00:00,456.0,28677,28677,27088,1.8442758167639808,6.154562172256215,15.71111309129525,21.285714285714285,190.99590458446303,1762.7665547892748,20.0,160.0,1817.0
2023-02-25 08:00:00,472.0,44531,44531,41928,1.9687037550223787,9.33132679990504,21.069038873896478,21.714285714285715,137.0,1865.1714285714363,20.0,121.0,1735.4600000000064
2023-02-25 16:00:00,480.0,22553,22553,21423,0.0,3.744809565378729,10.411376530418437,23.0,293.3714285714286,1987.1480661406015,21.0,241.0,2076.679999999993
2023-02-26 08:00:00,496.0,35086,35086,33083,1.849376405491001,6.1588416080279025,18.145727590827892,22.33333333333333,195.93333333333368,2558.0933333333314,21.0,157.0,2362.3600000000006
2023-02-26 16:00:00,504.0,34756,34756,32744,1.92847606091931,8.345159575743352,19.488216780716076,21.0,140.66666666666666,1576.5,20.0,125.0,1595.5699999999997
2023-02-27 08:00:00,520.0,52206,52206,49332,2.7594164416805764,11.661289210550144,24.066719044391224,21.5,118.0,1513.7216666666645,20.0,109.0,1438.3800000000047
2023-02-27 16:00:00,528.0,35278,35278,33304,1.927681289456328,8.311045281302835,19.240074111999682,20.83333333333333,140.16666666666666,1594.575,20.0,125.0,1619.9700000000012
2023-02-28 08:00:00,544.0,52430,52430,49559,2.7587794937162657,11.646615782817317,23.9569719990371,21.5,116.66666666666669,1502.4900000000005,21.0,109.0,1463.4199999999983
2023-02-28 16:00:00,552.0,35343,35343,33378,1.926318343640556,8.243702346600397,18.574158850371038,21.0,140.66666666666666,1581.1166666666675,20.0,125.0,1621.6900000000096
2023-03-01 08:00:00,568.0,52096,52096,49185,2.756867981519408,11.478670874109763,24.23354471227247,21.5,117.0,1502.2183333333317,20.0,110.0,1450.0
2023-03-01 16:00:00,576.0,35053,35053,33111,1.9269999148324943,8.239552077986293,18.52774405662446,21.0,140.83333333333334,1584.6133333333285,20.0,124.0,1602.9000000000015
2023-03-02 08:00:00,592.0,51809,51809,48957,2.7479345250877603,11.487346707872831,24.042895755220833,21.571428571428573,117.42857142857144,1505.5028571428504,20.0,110.0,1467.2000000000116
2023-03-02 16:00:00,600.0,34714,34714,32830,1.918583414434595,8.216939989219163,18.814378607402148,21.0,142.71428571428572,1601.8495566698261,20.0,127.0,1629.969999999994
2023-03-03 08:00:00,616.0,51416,51416,48638,2.7472956094169723,11.39022161758362,24.042472323008568,21.428571428571427,117.85714285714286,1514.4514285714279,20.0,110.0,1446.8899999999921
2023-03-03 16:00:00,624.0,29133,29133,27601,1.8445077467050357,6.165969105576315,15.597998270033269,21.285714285714285,190.99590458446303,1762.7665547892748,20.0,158.0,1836.0
2023-03-04 08:00:00,640.0,44420,44420,41834,1.962211494025183,9.327977737773173,21.01955805066809,21.714285714285715,137.0,1865.1714285714363,20.0,121.0,1780.6699999999983
2023-03-04 16:00:00,648.0,22453,22453,21357,0.0,3.7366871686491336,11.055419299907124,23.0,293.3714285714286,1987.1480661406015,22.0,242.40000000000146,2082.4399999999987
2023-03-05 08:00:00,664.0,34829,34829,32743,1.8442758167642483,5.936663352998246,16.684742760504417,22.33333333333333,195.93333333333368,2558.0933333333314,21.0,164.0,2533.1199999999735
2023-03-05 16:00:00,672.0,34632,34632,32581,1.926318343640556,8.241627295844179,18.867645809561576,21.0,140.66666666666666,1576.5,20.0,128.0,1654.4000000000015
