window_start_pt,hours_since_quake,threshold,gcc_fraction
2023-02-05 08:00:00,-8.0,10.0,0.08944543828264759
2023-02-05 08:00:00,-8.0,11.0,0.08714541272680808
2023-02-05 08:00:00,-8.0,12.0,0.08637873754152824
2023-02-05 08:00:00,-8.0,13.0,0.07794531050345004
2023-02-05 08:00:00,-8.0,14.0,0.07666751852798365
2023-02-05 08:00:00,-8.0,14.620689655172555,0.07615640173779709
2023-02-05 08:00:00,-8.0,16.0,0.07462305136723742
2023-02-05 08:00:00,-8.0,17.0,0.07411193457705086
2023-02-05 08:00:00,-8.0,20.0,0.07027855865065168
2023-02-05 08:00:00,-8.0,22.0,0.06005622284692052
2023-02-05 08:00:00,-8.0,25.0,0.029900332225913623
2023-02-05 08:00:00,-8.0,27.0,0.029133657040633785
2023-02-05 08:00:00,-8.0,29.0,0.02785586506516739
2023-02-05 08:00:00,-8.0,32.0,0.026322514694607717
2023-02-05 08:00:00,-8.0,34.0,0.025300281114234602
2023-02-05 08:00:00,-8.0,38.0,0.025300281114234602
2023-02-05 08:00:00,-8.0,42.0,0.022489138768208537
2023-02-05 08:00:00,-8.0,46.0,0.0217224635829287
2023-02-05 08:00:00,-8.0,51.0,0.01891132123690263
2023-02-05 08:00:00,-8.0,58.0,0.018144646051622797
2023-02-05 08:00:00,-8.0,68.0,0.017889087656529516
2023-02-05 08:00:00,-8.0,80.0,0.009966777408637873
2023-02-05 08:00:00,-8.0,100.0,0.00868898543317148
2023-02-05 08:00:00,-8.0,137.0,0.007411193457705086
2023-02-05 08:00:00,-8.0,425.0,0.0005111167901865576
2023-02-06 16:00:00,24.0,10.0,0.17136386512330146
2023-02-06 16:00:00,24.0,11.0,0.16054353296426774
2023-02-06 16:00:00,24.0,12.0,0.1482133870156014
2023-02-06 16:00:00,24.0,13.0,0.08933064921992954
2023-02-06 16:00:00,24.0,14.0,0.08857574232511324
2023-02-06 16:00:00,24.0,15.0,0.08731756416708605
2023-02-06 16:00:00,24.0,16.0,0.08354302969300453
2023-02-06 16:00:00,24.0,17.0,0.08127830900855561
2023-02-06 16:00:00,24.0,18.0,0.0805234021137393
2023-02-06 16:00:00,24.0,19.0,0.079768495218923
2023-02-06 16:00:00,24.0,21.0,0.07674886763965777
2023-02-06 16:00:00,24.0,23.0,0.07247106190236538
2023-02-06 16:00:00,24.0,25.0,0.06240563663814796
2023-02-06 16:00:00,24.0,28.0,0.060140915953699046
2023-02-06 16:00:00,24.0,30.0,0.032460996477101156
2023-02-06 16:00:00,24.0,33.0,0.0249119275289381
2023-02-06 16:00:00,24.0,37.0,0.024408656265727226
2023-02-06 16:00:00,24.0,41.0,0.02365374937091092
2023-02-06 16:00:00,24.0,47.0,0.021640664318067437
2023-02-06 16:00:00,24.0,55.0,0.019627579265223957
2023-02-06 16:00:00,24.0,65.0,0.018117765475591345
2023-02-06 16:00:00,24.0,81.0,0.017362858580775038
2023-02-06 16:00:00,24.0,115.0,0.009562154001006542
2023-02-06 16:00:00,24.0,535.0,0.0005032712632108706
2023-02-12 16:00:00,168.0,10.0,0.17491749174917492
2023-02-12 16:00:00,168.0,11.0,0.11008958038661008
2023-02-12 16:00:00,168.0,12.0,0.10608203677510608
2023-02-12 16:00:00,168.0,13.0,0.10396039603960396
2023-02-12 16:00:00,168.0,14.0,0.10183875530410184
2023-02-12 16:00:00,168.0,15.0,0.09971711456859972
2023-02-12 16:00:00,168.0,16.0,0.09453088165959453
2023-02-12 16:00:00,168.0,17.0,0.09335219236209336
2023-02-12 16:00:00,168.0,18.0,0.07967939651107968
2023-02-12 16:00:00,168.0,19.0,0.07944365865157944
2023-02-12 16:00:00,168.0,21.0,0.07708628005657708
2023-02-12 16:00:00,168.0,23.0,0.07614332861857614
2023-02-12 16:00:00,168.0,25.0,0.07378595002357378
2023-02-12 16:00:00,168.0,27.0,0.07072135785007072
2023-02-12 16:00:00,168.0,30.0,0.057284299858557285
2023-02-12 16:00:00,168.0,33.0,0.02545968882602546
2023-02-12 16:00:00,168.0,37.0,0.024516737388024516
2023-02-12 16:00:00,168.0,41.0,0.023809523809523808
2023-02-12 16:00:00,168.0,47.0,0.02215935879302216
2023-02-12 16:00:00,168.0,54.0,0.020744931636020744
2023-02-12 16:00:00,168.0,65.0,0.018151815181518153
2023-02-12 16:00:00,168.0,82.0,0.0165016501650165
2023-02-12 16:00:00,168.0,116.0,0.010608203677510608
2023-02-12 16:00:00,168.0,609.0,0.0004714757190004715
