slug,name,data_root,event_type,t0_pt,center_lat,center_lon,only_hour_pt,outflow_phi_threshold,inflow_phi_threshold,center_track_csv,center_track_to_tz,center_track_storm_name
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico","/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,,,,8,0.9,1.1,,,
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US","/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Beryl Across Southeastern Texas, US",hurricane,2024-07-08 08:00:00,28.6,-96.0,8,0.9,1.1,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Beryl
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,,,,8,0.9,1.1,,,
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,,,,8,0.9,1.1,,,
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,2024-09-27 08:00:00,30.0,-83.8,8,0.9,1.1,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Helene
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico","/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane John Across Southeastern Guerrero, Mexico",hurricane,,,,8,0.9,1.1,,,
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane John Southern Mexico 25 September 2024,hurricane,,,,8,0.9,1.1,,,
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US","/mnt/e/newdesktop/archive/facebook/disaster data/Hurricane Milton Across Florida, US",hurricane,2024-10-10 08:00:00,27.3,-82.6,8,0.9,1.1,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Milton
line_fire_southern_california_9_september_2024,Line Fire Southern California 9 September 2024,/mnt/e/newdesktop/archive/facebook/disaster data/Line Fire Southern California 9 September 2024,wildfire,2024-09-09 16:00:00,34.121,-117.155,8,0.9,1.1,,,
moldova_flooding_2024,Moldova Flooding Sept 16 2024,/mnt/e/newdesktop/archive/facebook/disaster data/Moldova Flooding Sept 16 2024,flood,,,,8,0.9,1.1,,,
park_fire_2024,"The Park Fire in Northern California, US","/mnt/e/newdesktop/archive/facebook/disaster data/The Park Fire in Northern California, US",wildfire,,,,8,0.9,1.1,,,
park_fire_california_29_july_2024,Park Fire California 29 July 2024,/mnt/e/newdesktop/archive/facebook/disaster data/Park Fire California 29 July 2024,wildfire,,,,8,0.9,1.1,,,
the_flooding_across_antioquia_and_choc_departments_colombia,"The Flooding Across Antioquia and Chocó Departments, Colombia","/mnt/e/newdesktop/archive/facebook/disaster data/The Flooding Across Antioquia and Chocó Departments, Colombia",flood,,,,8,0.9,1.1,,,
the_flooding_across_bagmati_and_koshi_provinces_nepal,"The Flooding Across Bagmati and Koshi Provinces, Nepal","/mnt/e/newdesktop/archive/facebook/disaster data/The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,,,,8,0.9,1.1,,,
the_flooding_across_eastern_bangladesh,The Flooding Across Eastern Bangladesh,/mnt/e/newdesktop/archive/facebook/disaster data/The Flooding Across Eastern Bangladesh,flood,,,,8,0.9,1.1,,,
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India","/mnt/e/newdesktop/archive/facebook/disaster data/The Flooding Across Gujarat, India",flood,,,,8,0.9,1.1,,,
the_flooding_in_benue_and_kogi_states_nigeria,"The Flooding in Benue and Kogi States, Nigeria","/mnt/e/newdesktop/archive/facebook/disaster data/The Flooding in Benue and Kogi States, Nigeria",flood,,,,8,0.9,1.1,,,
the_flooding_in_conakry_city_conakry_guinea,"The Flooding in Conakry City, Conakry, Guinea","/mnt/e/newdesktop/archive/facebook/disaster data/The Flooding in Conakry City, Conakry, Guinea",flood,,,,8,0.9,1.1,,,
