t_start_hours,t_end_hours,duration_hours,n_windows
0.0,0.0,0.0,1
40.0,40.0,0.0,1
88.0,96.0,8.0,2
112.0,112.0,0.0,1
136.0,136.0,0.0,1
176.0,176.0,0.0,1
216.0,216.0,0.0,1
264.0,264.0,0.0,1
