hours_since_quake,v1,v2,g1,g2
0.0,0.28571442428312155,0.13230583877950428,0.5091821110733818,0.20245592327006914
24.0,0.29190008964809333,0.15031001179419679,0.5202058112482417,0.2300061168520647
48.0,0.4041993849016938,-0.6987595501203909,0.7203384869881947,-1.0692499376325102
72.0,0.4220796918894157,-0.31932635576597557,0.7522036351391563,-0.48863687935049865
96.0,0.3143149132177602,0.03551665543419423,0.5601520870205517,0.05434799653383561
120.0,0.29465446607794193,0.07390161466581302,0.5251144860859228,0.11308510468121395
144.0,0.2891877690864081,0.15744678779482082,0.5153720857092815,0.24092689395235575
168.0,0.2193551880530141,0.19038043697862322,0.390920892453978,0.2913223444756789
192.0,0.23068389806484188,0.1812349882776243,0.4111102003408091,0.27732787319943
216.0,0.18764273033716355,0.192563450885648,0.3344049632789033,0.29466281758053303
240.0,0.12258073982290837,0.23378709401000033,0.2184556136308889,0.3577437126210434
264.0,0.14470126672252384,0.19664575470906487,0.25787741255848023,0.30090960606139655
288.0,0.1125879940052376,0.22538999943744048,0.20064717632980478,0.34489438147922646
312.0,0.16125620620994022,0.1922558776615194,0.2873805748788459,0.2941921654790193
336.0,0.10584348405621655,0.2255992368515398,0.188627538810227,0.3452145589879811
