k,sigma,energy_frac,energy_cum
1,1.7821365244367944,0.5468610254851539,0.5468610254851539
2,1.5302115548163695,0.4031790753731533,0.9500401008583071
3,0.3502199938030271,0.0211191727410611,0.9711592735993683
4,0.2992369378408276,0.015417907442006318,0.9865771810413745
5,0.18458940088455256,0.005866898177291321,0.992444079218666
6,0.11780084064032703,0.0023894162322760466,0.9948334954509419
7,0.09982058908533052,0.0017156760447195134,0.9965491714956615
8,0.08515013006848574,0.001248434212820091,0.9977976057084815
9,0.0641570839364582,0.0007087356241228252,0.9985063413326044
10,0.061163783185397044,0.0006441451048161661,0.9991504864374205
11,0.053905069125544415,0.0005003273512985833,0.9996508137887191
12,0.034912755439097706,0.00020987624378405523,0.9998606900325032
