r_bin_km,u1,u2
0.0,-0.7540685989906111,0.12697404271367202
10.0,-0.22526132722720582,0.51053249793807
20.0,0.07310539569263828,0.3161815441508522
30.0,-0.024083264343779266,0.22494975294702324
40.0,0.14371996896391998,0.3212060390509354
50.0,0.17414512690505693,0.3288956142571733
60.0,0.05055480038631509,0.0813140797060902
70.0,-0.11778979402587031,0.4420436465507935
80.0,0.12450786904358198,0.1863752161003577
90.0,0.1099192684200774,0.08477749742069578
100.0,0.030176625428947296,0.25794270603434677
110.0,0.12261569123983612,0.1424774595539522
120.0,0.16635357393340364,0.06794282925575527
130.0,0.17664339076778093,0.10633250739667024
140.0,0.278771459747534,0.03148453883439768
150.0,0.13491450331184376,0.05656435132929905
160.0,0.1495153601150081,0.033059555323042195
170.0,0.16417654667432813,0.05039750364424636
180.0,0.11584723312548548,0.0441157811513428
190.0,0.1474998967567661,0.04628347517255963
200.0,0.1565061627355756,0.05204558463769794
