target_hours,window_start_pt,hours_since_quake,n_od,total_flow_crisis,mean_delta_r_w,sigma_delta_r_w
8.0,2024-07-01 08:00:00,16.0,956,131055.0,-0.0034207198823521905,0.7512875320042369
40.0,2024-07-02 08:00:00,40.0,1244,108192.0,-0.05689499606173426,1.9442669816391085
168.0,2024-07-07 08:00:00,160.0,930,113378.0,-0.013956548782625552,0.8755829587051994
