subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,13,-0.7747252747252747,0.0018713615028719084
selected_r2_ge_0p8,10,-0.6484848484848483,0.04254012768448949
