slug,n_units_fit,rho_alpha_vs_delta_peak_unit,p_alpha_vs_delta_peak_unit,n_alpha_vs_delta_peak_unit,rho_alpha_vs_D_peak_unit,p_alpha_vs_D_peak_unit,n_alpha_vs_D_peak_unit,rho_alpha_vs_distance_km,p_alpha_vs_distance_km,n_alpha_vs_distance_km
cambodia_monsoon_season_study_2024_05_09,4,-0.6000000000000001,0.4,4,-0.6000000000000001,0.4,4,0.6000000000000001,0.4,4
flooding_in_central_and_eastern_europe_sept_16_2024,412,-0.4271311015070241,1.0630127850777455e-19,412,-0.07123252977130647,0.14893498529899354,412,-0.0978142341857871,0.047240219472404775,412
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,98,0.06163252555005131,0.5465911183850679,98,-0.02554686354391803,0.8028217378144784,98,0.06302239733756669,0.5375656697583936,98
hurricane_beryl_across_southeastern_texas_us,203,-0.08149022668131779,0.24775861426691537,203,0.39779401005878623,4.176758196737187e-09,203,0.2075607299936021,0.0029639498592976903,203
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,985,0.14426457215427277,5.473956407573394e-06,985,0.23823136389331795,3.5452267995035425e-14,985,-0.14827862452696047,2.9592139224624227e-06,985
hurricane_beryl_pre_landfall_2024,12,0.1328671328671329,0.6805975082860817,12,-0.1328671328671329,0.6805975082860817,12,-0.41958041958041964,0.1745190081300594,12
hurricane_debby_across_florida_and_georgia_us,1435,-0.0035202029556521417,0.8940080044387027,1435,-0.024025255425537587,0.3631135191080231,1435,0.025940155583252016,0.32612045594530675,1435
hurricane_ernesto_puerto_rico_14_august_2024,12,0.22377622377622378,0.4844516614553987,12,-0.2937062937062937,0.3541476412329215,12,0.11188811188811189,0.729194990751066,12
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,650,-0.1710207780191378,1.1644597661930514e-05,650,0.341638001145929,3.118427974245336e-19,650,-0.06953931798108945,0.07645361652846154,650
hurricane_john_across_southeastern_guerrero_mexico,111,-0.025386100386100383,0.7914145900998479,111,0.08923306423306422,0.3516746162848205,111,0.03657423657423657,0.7031297477132733,111
hurricane_john_southern_mexico_25_september_2024,267,-0.14659636681843802,0.01652404585790279,267,0.17213543669672252,0.004793336693667198,267,0.14636309875813128,0.01669875222262571,267
hurricane_milton_across_florida_us,147,-0.013426622037189553,0.8717730857867514,147,0.3915632154379708,9.381327925401685e-07,147,-0.06318521484861994,0.44707513642949015,147
india_monsoon_season_study_2024_05_09_nct_delhi_up_bihar,159,-0.25227788392643896,0.001336356093226752,159,-0.25654107953188443,0.0010979688123293329,159,0.002409242894673991,0.9759556074569379,159
line_fire_southern_california_9_september_2024,52,-0.04183385981388201,0.7684034334909464,52,0.07828908050883633,0.5811711633661277,52,0.04362673952019124,0.7587706083911632,52
moldova_flooding_2024,18,-0.07739938080495357,0.7601672386317739,18,-0.4674922600619195,0.050437519451044396,18,-0.3519091847265222,0.15210693918997695,18
pakistan_monsoon_season_study_sindh_2024_05_09,23,0.2806324110671937,0.19460991482665602,23,0.2806324110671937,0.19460991482665602,23,0.3112648221343874,0.14825337031304395,23
park_fire_2024,83,-0.27660467654590487,0.011361865948960872,83,-0.1776583686663028,0.10809632144750178,83,0.11752235422526341,0.2900034942797381,83
park_fire_california_29_july_2024,87,0.059761609681417215,0.5824231819617871,87,0.12876357804184585,0.23459282568968043,87,-0.19721877961653422,0.0671072107104124,87
spain_flood,164,-0.10739869138791777,0.17105653061329817,164,-0.08140600982139212,0.30008429472593506,164,0.07307823106117284,0.3524001270202623,164
the_flooding_across_bagmati_and_koshi_provinces_nepal,38,-0.018273334062807747,0.9132893715187136,38,-0.15658168289747235,0.34783400165289136,38,0.04497209760367655,0.7886212412670387,38
the_flooding_across_eastern_bangladesh,31,0.3189516129032258,0.08031260167212456,31,0.008870967741935484,0.9622242489424588,31,-0.32056451612903225,0.07871069904556577,31
the_flooding_across_gujarat_india,216,-0.16084854546970073,0.017996571260699614,216,0.1738815656295026,0.010460252114301348,216,0.1434751545029114,0.03508941379226863,216
the_flooding_across_rio_grande_do_sul_state_brazil,126,-0.28682114735658043,0.0011292669462394725,126,-0.2764604424446945,0.0017265094505170277,126,-0.14972028496437947,0.09426779780825488,126
the_flooding_in_benue_and_kogi_states_nigeria,5,-0.6,0.28475697986529386,5,-0.7,0.1881204043741873,5,0.0,1.0,5
the_flooding_in_conakry_city_conakry_guinea,3,,,3,,,3,,,3
the_wildfires_in_quito_pichincha_province_ecuador,29,-0.15024630541871917,0.43660296162230755,29,-0.12807881773399013,0.5078931884210849,29,0.2551724137931034,0.18156839465631944,29
tropical_storm_debby_united_states_pre_landfall_4_august_2024,503,0.2544848533537911,7.085887617970495e-09,503,0.23587539456865336,8.665998165622508e-08,503,0.17376513071070823,8.955024707994936e-05,503
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,36,0.3557271557271558,0.03323466733234271,36,-0.015444015444015444,0.9287648007177977,36,-0.285971685971686,0.09087661963362824,36
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,63,-0.30563556067588327,0.01485368027753698,63,0.24553571428571433,0.05242115446242732,63,-0.06792434715821813,0.596841370440808,63
tropical_storm_yagi_philippines_2_september_2024,29,0.05517241379310344,0.7762112653309983,29,-0.020197044334975364,0.9171768603650384,29,0.13054187192118222,0.49969849858432563,29
turkiye_earthquake_2023,257,-0.4810926330196361,2.7149436045365064e-16,257,-0.2266911648267125,0.00024807706243550417,257,0.2462736686725183,6.594690723200519e-05,257
typhoon_krathon_across_taiwan,32,0.4831378299120234,0.005094097898066761,32,0.5135630498533724,0.002644900185926883,32,-0.07734604105571846,0.673931181637811,32
typhoon_yagi_across_northeastern_vietnam,16,0.4147058823529412,0.11022940391770165,16,-0.4147058823529412,0.11022940391770165,16,0.3970588235294118,0.12780600908826178,16
wildfires_in_boise_county_idaho_27_august_2024,18,0.5170278637770898,0.02800614736378716,18,0.5170278637770898,0.02800614736378716,18,-0.08565531475748193,0.7354104124232368,18
