slug,geo_unit,alpha_unit,logA_unit,r2_unit,n_mono,t_peak_h,D_peak_unit,delta_peak_unit,distance_km,n_tiles_median,n_windows_total
cambodia_monsoon_season_study_2024_05_09,1322123201,1.2592539520361026,4.389893947537714,0.550781488533314,5,120.0,0.08525632208930345,0.08525632208930345,88.36524319656776,66.0,35
cambodia_monsoon_season_study_2024_05_09,1322123223,1.7826519210087042,5.570806128643099,0.535641538765137,4,48.0,0.09113037744092956,0.09113037744092956,65.72281054906428,70.0,35
cambodia_monsoon_season_study_2024_05_09,1322123230,0.5600423630743339,1.7697983678029212,0.9167387136180108,3,24.0,0.10100042373474039,0.10100042373474039,12.71727563596125,212.0,35
cambodia_monsoon_season_study_2024_05_09,1322123232,0.4270990800920375,1.3015957864289434,0.9546805106859245,3,24.0,0.10091014918979924,0.10091014918979924,43.853701319549174,78.0,35
flooding_in_central_and_eastern_europe_sept_16_2024,1202120200,0.23658607164314652,0.640416072986312,0.718431684193914,5,96.0,0.12217028129405061,0.12217028129405061,765.9763408731021,80.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202120202,0.47894303934139315,1.10604451484706,0.767001525266774,3,144.0,0.07966282535606894,0.07966282535606894,754.0751723596621,46.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202120210,0.19914656637233435,0.5068034519841149,0.9340038213586526,4,96.0,0.13075519675337377,0.13075519675337377,724.3667302903452,178.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202120213,0.010414406189511628,-0.12001454820829986,0.034506203887183395,3,120.0,0.08694764248702369,0.08694764248702369,690.7164335932331,202.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202120301,0.8775969512450459,2.73817629287662,0.5978060004456056,3,120.0,0.05788671522433564,0.05788671522433564,664.2592396777172,42.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202120320,-0.003995997895914944,-0.3546652000421636,0.02015139765960261,3,120.0,0.08647316452183551,0.08647316452183551,656.9533491458507,118.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202121221,0.1748322978858318,0.3809348266321019,0.7854145282481129,3,120.0,0.07804325681276802,0.07804325681276802,557.198551341473,154.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202121222,0.3071027073124102,0.6677547626690438,0.6696883173000425,3,120.0,0.07544087684318623,0.07544087684318623,561.4479784707042,135.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202121223,-0.061855524093061796,-0.6740319362029161,0.9911200461152457,3,120.0,0.05888805711905287,0.05888805711905287,541.7335729636869,172.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202121233,1.8019577423794852,6.01450830073724,0.48138215874040713,4,0.0,0.13085976546558042,-0.13085976546558042,503.8501647317262,120.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202121312,-0.0661363952454773,-0.43946201004227803,0.9312927616847412,3,120.0,0.10987810669518727,0.10987810669518727,490.0200627185645,145.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202121313,0.36402236561251905,1.0141347030142924,0.9122640358136884,5,96.0,0.1719945972397796,0.1719945972397796,475.6897040757631,144.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202121322,1.1351912791617784,3.928807912009324,0.6888035296989469,5,0.0,0.13731293815989132,-0.13731293815989132,485.8025733193329,167.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202121323,0.5304710848864783,1.7012880171162188,0.944573367955386,3,96.0,0.05772013678675947,0.05772013678675947,468.44424491087244,156.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202121330,0.2512852403359525,0.7367407757533581,0.8453740576026558,3,96.0,0.0976677828077146,0.0976677828077146,470.7294488438712,160.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122012,0.04776242479219398,0.021708237272659175,0.632939220030349,3,96.0,0.0837738664071872,0.0837738664071872,666.3500544476639,113.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122013,0.3853902478774159,1.2513749069564977,0.6651613294700304,4,96.0,0.10164978341474429,0.10164978341474429,643.6102561035805,95.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122023,0.20711154195058631,0.6182078871692307,0.7998884044401479,3,120.0,0.09239932421833585,0.09239932421833585,671.741990086972,154.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122031,0.05340038993484847,-0.05816561243421871,0.5088854283022317,4,120.0,0.0716923899415911,0.0716923899415911,633.5725767147749,138.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122033,0.06234773186616011,-0.0074393254780568425,0.6572555972517673,3,72.0,0.07638576436093758,0.07638576436093758,624.3289650179161,64.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122102,0.16276054336824128,0.405986370839234,0.7912558181053905,3,120.0,0.06538117795788656,0.06538117795788656,621.0880288689453,114.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122201,0.1331923972177486,0.19000733424903857,0.8277355623681659,3,96.0,0.18305369210582834,0.18305369210582834,664.1581297213866,99.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122203,0.05963462669638383,0.1808635856568479,0.9814710720388374,4,120.0,0.10401356790857896,0.10401356790857896,657.4216518918251,123.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122221,1.2894118724977461,3.7479281546145415,0.8060081293605371,5,0.0,0.06209026537157225,0.06209026537157225,651.5725603321748,85.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122223,0.09790020264171144,0.2864773532686781,0.803104296437545,3,120.0,0.07571466566876217,0.07571466566876217,646.6488501850886,116.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122302,0.11776805922292653,0.340402170207983,0.3935159339206121,3,96.0,0.0641464721092675,0.0641464721092675,584.0896509457784,116.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122320,0.3292284265705315,1.0426191741453201,0.9971179138099782,3,96.0,0.07342359181963665,0.07342359181963665,577.1327592463156,164.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122321,1.1063940188854062,3.450486933897586,0.7027924070676133,3,0.0,0.05741773969473063,-0.05741773969473063,552.50768089708,93.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122322,0.2785565972759012,0.7284204082452651,0.6677472428395983,3,144.0,0.07652037722714078,0.07652037722714078,571.1979721948488,156.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122332,2.4009449289944302,8.150047709929545,0.5715331977354636,4,0.0,0.28755450982391917,-0.28755450982391917,521.2652438956309,32.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202122333,0.07067951158605401,0.21911947835333953,0.4182868753829715,3,144.0,0.07348668360131039,0.07348668360131039,496.4443694545018,104.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202123000,-0.03409761028180212,-0.4704775063657077,0.6259346807898203,4,120.0,0.1256309219902807,0.1256309219902807,547.2380118687166,168.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202123001,0.9703055604563557,2.8154672414025566,0.9668000222420939,4,0.0,0.04522826103311672,-0.04522826103311672,526.8953648510617,142.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202123013,1.049196324938254,3.076254128715182,0.8233833668384865,5,0.0,0.07841571338299935,-0.07841571338299935,472.1600862353006,179.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202123021,0.012953193303914435,-0.2554160781751047,0.19794007700297078,3,120.0,0.19427060095581128,0.19427060095581128,499.38987942310564,240.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202123022,-0.017489124411986724,-0.1406312424480949,0.9997368443623829,3,96.0,0.12917090152297206,0.12917090152297206,509.1286152009797,234.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202123023,0.0998174244617057,0.27646103287413487,0.8517007768274137,3,96.0,0.15340099413479802,0.15340099413479802,486.88118630643214,252.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202123030,-0.04770216750464361,-0.38159787832169706,0.9693393010742886,3,120.0,0.1144571606272109,0.1144571606272109,478.17181507867423,216.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202123100,1.0405115220709618,3.23700442066843,0.5899719964077541,4,0.0,0.12510784040133127,-0.12510784040133127,468.91120460704377,166.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202123131,0.8672997562196785,2.7178198266606306,0.9071272654006635,6,0.0,0.15155871630545137,-0.15155871630545137,380.34192803256843,103.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202123202,1.1009797398274686,3.263361015957279,0.7127848169334838,6,96.0,0.10035304479464269,-0.10035304479464269,488.24934968404045,67.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202123232,0.4990371978692111,1.761760100589894,0.6567070330984142,6,0.0,0.10936835890948116,-0.10936835890948116,422.7760196798954,91.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202123301,1.444255869222473,4.328508274948424,0.654336974304752,3,0.0,0.08710665077920687,-0.08710665077920687,387.4825087002682,130.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202123302,0.011500541886157385,-0.06035724590601809,0.9998897742387005,3,120.0,0.12487436466580792,0.12487436466580792,396.13382582170635,169.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202123321,0.08381478653156903,0.24154512972495806,0.45437369828917396,3,96.0,0.0914624457126767,0.0914624457126767,361.76978697676924,160.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202130201,0.12586834440485647,0.36042443205221014,0.8910355193895401,3,96.0,0.06893219412714124,0.06893219412714124,471.4588285162538,101.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202130202,0.13078058337465828,0.15836596146096868,0.6459775364793952,4,120.0,0.14518539459216817,0.14518539459216817,462.30649209853124,200.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202130233,1.2961844905953177,4.224554595076977,0.640613215260042,4,0.0,0.03805310839394205,-0.03805310839394205,383.8026226626756,97.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202130303,1.3227673182170516,3.509291820446335,0.6870107568207656,3,0.0,0.07638992951918233,-0.07638992951918233,412.6164837506137,105.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202130331,-0.07420484112716325,-0.3605594223376059,0.9173426741718482,4,96.0,0.08084795580220594,0.08084795580220594,378.10896085054696,155.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202130332,0.09914231835103184,0.31215783209230985,0.991351689261805,3,96.0,0.08082756555251591,0.08082756555251591,358.83856390499096,236.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202130333,1.8135408453860822,4.753022083805049,0.8046931830268185,3,0.0,0.11109718384116873,-0.11109718384116873,353.812475460624,120.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131202,1.7315531423628978,5.205322345845475,0.8332253758635975,5,0.0,0.09156476906206301,-0.09156476906206301,399.50893254140624,90.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131210,1.1959890891430556,3.504736315395946,0.8584479114014907,6,0.0,0.11801640013005665,-0.11801640013005665,423.04139242443665,78.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131213,0.7350210246695573,0.8684155237004239,0.9999910245277378,3,0.0,0.054453134049994745,-0.054453134049994745,400.68118662952656,195.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131220,0.9687144547199301,2.4647175708815827,0.9629222196231488,4,0.0,0.10183535062250726,-0.10183535062250726,375.0924483655693,63.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131231,0.2699846166841439,0.694342567916779,0.9342906303040392,3,96.0,0.0582236662465927,0.0582236662465927,376.3466391348127,165.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131233,0.9767458613190972,2.5103222019152525,0.7279635078441509,3,0.0,0.07355749218045182,-0.07355749218045182,351.9196219661262,186.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131302,0.005578518416012398,-0.13712895453860394,0.043211479405962594,4,120.0,0.10113407663330176,0.10113407663330176,404.2673901065131,166.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131303,1.5533143072762952,4.070361582637175,0.6409289252186675,3,0.0,0.07494699510861957,-0.07494699510861957,409.3968339128873,100.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131310,0.1821665416511402,0.5791440947264355,0.9725601934266938,3,120.0,0.08080335422884888,0.08080335422884888,439.33834109875,155.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131320,1.8983655979379945,5.268060382029551,0.8441456599604757,3,0.0,0.07550133601714981,-0.07550133601714981,380.1803652819665,131.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131322,1.126028929007103,1.8342390880470518,0.8499922076954106,3,0.0,0.06941856910539068,-0.06941856910539068,356.03564412144465,165.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131330,2.2236134699498846,7.459602021252209,0.5326014350511372,7,0.0,0.11064046783216175,-0.11064046783216175,392.7042921933819,160.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131331,1.9686453205483099,5.691316735865237,0.995028377265388,3,0.0,0.07172740634369812,-0.07172740634369812,401.24267529225324,189.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131332,0.8303447915789955,1.9406697302936184,0.6498991600570037,4,0.0,0.11809046391339528,-0.11809046391339528,369.4407417383871,109.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202131333,0.6969436868315545,1.64040345795137,0.9751317434923795,3,0.0,0.08835930690848759,-0.08835930690848759,378.54639526462466,149.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132001,0.23956077290231226,0.6517338283586778,0.8812696356033052,3,96.0,0.18549567098575825,0.18549567098575825,386.9148463381567,121.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132003,0.046301318781153726,0.11487368810708913,0.3096488349235039,8,96.0,0.14914615300591572,0.14914615300591572,366.6101723534856,165.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132013,0.14694442214744557,0.3209746183060321,0.9944046223636058,3,96.0,0.0843455346256039,0.0843455346256039,339.66576425524846,188.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132021,1.8537486712612987,5.562216378295017,0.9023116611249133,3,0.0,0.22067148550731308,-0.22067148550731308,346.80633757673996,70.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132030,1.4070605395223186,4.370517414487046,0.8571588598995393,4,0.0,0.3363628899659632,-0.3363628899659632,331.74792671622197,107.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132031,0.05714428360896324,0.03654231933821653,0.9721697572549423,3,96.0,0.1010113788583078,0.1010113788583078,318.0495593550775,166.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132111,1.1764041767965645,2.6832978110945325,0.8495499698411356,3,0.0,0.07433287504955977,-0.07433287504955977,329.44895085961605,155.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132120,0.07985689555213416,0.041081180479916976,0.990917405996376,3,96.0,0.10128038869695954,0.10128038869695954,305.89431585661293,193.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132133,0.9114296855689819,2.3926772914764176,0.9949161064223618,3,0.0,0.10897456909304792,-0.10897456909304792,256.1039863607599,247.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132220,-0.05087895212860125,-0.1293820696769603,0.9678286036130637,3,168.0,0.09357642596743632,0.09357642596743632,295.94177206854715,161.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132230,0.10402426970466387,0.48593059839233566,0.7707477942574398,4,168.0,0.11272290790860406,0.11272290790860406,255.77716679144046,180.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132233,0.11357247405797744,0.24649715055447982,0.7971260379156881,3,96.0,0.07736857119681395,0.07736857119681395,219.68202494164203,140.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132302,1.4934014129405953,4.578628406000799,0.5794475754656481,4,0.0,0.10997857258122012,-0.10997857258122012,240.8697331262982,98.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132311,0.8403340135793895,2.131743234304542,0.7760433845731511,3,0.0,0.0959694589901936,-0.0959694589901936,231.65252728227466,203.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132312,2.690186838959106,8.862076982135763,0.6548100742702767,5,0.0,0.11025177755795812,-0.11025177755795812,215.97257246047198,118.0,27
flooding_in_central_and_eastern_europe_sept_16_2024,1202132322,0.04077359214612803,-0.35569877903808317,0.7907115063946162,3,120.0,0.09690477545785825,0.09690477545785825,201.2421118460935,116.0,27
