direction,band,n_points,tau_hours,tau_r2,fit_ok
outflow,0-25km,90,1036.5499950189076,0.2835149219761144,1
outflow,100-200km,90,1211.1840061280398,0.2539302534738249,1
outflow,200km+,90,1091.687498725743,0.3577876174660747,1
outflow,25-50km,90,922.7806926592278,0.2918573121226995,1
outflow,50-100km,90,968.1605292382351,0.24050464257671533,1
inflow,0-25km,90,542.9170962872247,0.5396584965897951,1
inflow,100-200km,90,1211.3963417355535,0.22647549305006065,1
inflow,200km+,90,1090.8362573467032,0.3576234119705587,1
inflow,25-50km,90,935.3417534894469,0.3148540776280171,1
inflow,50-100km,90,884.7362915207717,0.32498885583255255,1
