subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,13,-0.7472527472527472,0.003326741383429984
selected_r2_ge_0p8,12,-0.6783216783216784,0.0153173290532817
