window_start_pt,hours_since_quake,center_lat,center_lon,center_mode,distance_mode,center_track_csv,center_track_to_tz,center_track_storm_name,path_track_points_used,path_track_length_km,path_track_clip_ok,path_track_clip_kind,path_track_clip_start_pt,path_track_clip_end_pt,path_track_clip_pad_hours,path_track_clip_spatial_radius_km,path_track_points_total,path_track_length_total_km,path_track_keep_time_points,path_track_keep_spatial_points,path_track_keep_both_points,path_track_length_ratio_to_rmax,path_track_length_total_ratio_to_rmax,path_track_anchor_ok,path_track_anchor_pt,path_track_anchor_method,path_track_anchor_status
2024-09-02 08:00:00,0.0,18.3,120.27499999999999,track,path,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Yagi,5,572.1522476362029,1,time_and_spatial,2024-09-01 05:00:00,2024-09-02 17:00:00,24.0,600.0,12,2132.149117399841,5,6,5,1.1443044952724057,4.264298234799682,1,2024-09-01 23:00:00,landfall_nearest_t0,landfall
2024-09-03 08:00:00,24.0,18.85,117.7375,track,path,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Yagi,5,572.1522476362029,1,time_and_spatial,2024-09-01 05:00:00,2024-09-02 17:00:00,24.0,600.0,12,2132.149117399841,5,6,5,1.1443044952724057,4.264298234799682,1,2024-09-01 23:00:00,landfall_nearest_t0,landfall
2024-09-04 08:00:00,48.0,19.125,115.2375,track,path,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Yagi,5,572.1522476362029,1,time_and_spatial,2024-09-01 05:00:00,2024-09-02 17:00:00,24.0,600.0,12,2132.149117399841,5,6,5,1.1443044952724057,4.264298234799682,1,2024-09-01 23:00:00,landfall_nearest_t0,landfall
2024-09-05 08:00:00,72.0,19.45,112.8,track,path,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Yagi,5,572.1522476362029,1,time_and_spatial,2024-09-01 05:00:00,2024-09-02 17:00:00,24.0,600.0,12,2132.149117399841,5,6,5,1.1443044952724057,4.264298234799682,1,2024-09-01 23:00:00,landfall_nearest_t0,landfall
2024-09-06 08:00:00,96.0,20.20625,109.85000000000001,track,path,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Yagi,5,572.1522476362029,1,time_and_spatial,2024-09-01 05:00:00,2024-09-02 17:00:00,24.0,600.0,12,2132.149117399841,5,6,5,1.1443044952724057,4.264298234799682,1,2024-09-01 23:00:00,landfall_nearest_t0,landfall
2024-09-07 08:00:00,120.0,20.9,106.9,track,path,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Yagi,5,572.1522476362029,1,time_and_spatial,2024-09-01 05:00:00,2024-09-02 17:00:00,24.0,600.0,12,2132.149117399841,5,6,5,1.1443044952724057,4.264298234799682,1,2024-09-01 23:00:00,landfall_nearest_t0,landfall
2024-09-08 08:00:00,144.0,20.9,106.9,track,path,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Yagi,5,572.1522476362029,1,time_and_spatial,2024-09-01 05:00:00,2024-09-02 17:00:00,24.0,600.0,12,2132.149117399841,5,6,5,1.1443044952724057,4.264298234799682,1,2024-09-01 23:00:00,landfall_nearest_t0,landfall
2024-09-09 08:00:00,168.0,20.9,106.9,track,path,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Yagi,5,572.1522476362029,1,time_and_spatial,2024-09-01 05:00:00,2024-09-02 17:00:00,24.0,600.0,12,2132.149117399841,5,6,5,1.1443044952724057,4.264298234799682,1,2024-09-01 23:00:00,landfall_nearest_t0,landfall
2024-09-10 08:00:00,192.0,20.9,106.9,track,path,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Yagi,5,572.1522476362029,1,time_and_spatial,2024-09-01 05:00:00,2024-09-02 17:00:00,24.0,600.0,12,2132.149117399841,5,6,5,1.1443044952724057,4.264298234799682,1,2024-09-01 23:00:00,landfall_nearest_t0,landfall
2024-09-11 08:00:00,216.0,20.9,106.9,track,path,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Yagi,5,572.1522476362029,1,time_and_spatial,2024-09-01 05:00:00,2024-09-02 17:00:00,24.0,600.0,12,2132.149117399841,5,6,5,1.1443044952724057,4.264298234799682,1,2024-09-01 23:00:00,landfall_nearest_t0,landfall
