subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,15,-0.42142857142857143,0.11769939585541633
selected_r2_ge_0p8,13,-0.3736263736263736,0.20855405979520916
