window_start_pt,hours_since_quake,r_bin_km,n_tiles,n_tiles_crisis,n_tiles_overlap,baseline_sum,crisis_sum,baseline_sum_overlap,crisis_sum_overlap,path_sector_occupied,phi_aggregate,phi_overlap,tile_overlap_ratio,path_coverage_frac
2024-07-02 08:00:00,-9.0,0.0,1,1,1,72.2446082632376,22.453723377487805,72.2446082632376,22.453723377487805,1,0.310801372133865,0.310801372133865,1.0,0.08333333333333333
2024-07-02 08:00:00,-9.0,10.0,11,1,1,515.5344660651131,10.2369619492325,26.6266345965309,10.2369619492325,2,0.019856988471338308,0.3844632303087316,0.09090909090909091,0.16666666666666666
2024-07-02 08:00:00,-9.0,20.0,30,16,15,2056.2556072678162,379.0134521841509,1499.4097926717818,367.3469354324252,2,0.1843221488829168,0.2449943552641828,0.5,0.16666666666666666
2024-07-02 08:00:00,-9.0,30.0,33,24,24,2641.941853286069,1872.4349527206516,2393.7071540666952,1872.4349527206516,2,0.7087343540099876,0.7822322582524565,0.7272727272727273,0.16666666666666666
2024-07-02 08:00:00,-9.0,40.0,25,20,20,6591.9466303711315,5658.0772370206105,6471.493887623332,5658.0772370206105,2,0.8583317727349465,0.8743077464450097,0.8,0.16666666666666666
2024-07-02 08:00:00,-9.0,50.0,1,1,1,179.73950662218925,126.15841958204972,179.73950662218925,126.15841958204972,1,0.7018958822849866,0.7018958822849866,1.0,0.08333333333333333
2024-07-02 08:00:00,-9.0,60.0,3,3,3,220.80619055785002,91.30157107941949,220.80619055785002,91.30157107941949,1,0.4134918991571433,0.4134918991571433,1.0,0.08333333333333333
2024-07-02 08:00:00,-9.0,70.0,6,5,5,555.0909173729044,131.90046127268423,500.88565649625025,131.90046127268423,1,0.23761956311037033,0.2633344747688371,0.8333333333333334,0.08333333333333333
2024-07-02 08:00:00,-9.0,80.0,7,7,5,620.387777549308,398.81391127176244,594.7558188588157,372.42291511252284,2,0.6428461773492387,0.6261778419034338,0.7142857142857143,0.16666666666666666
2024-07-02 08:00:00,-9.0,90.0,47,47,46,7969.350141819294,4080.20221769047,7956.449325579293,4063.670437353685,2,0.5119868176301532,0.5107391841596147,0.9787234042553191,0.16666666666666666
2024-07-02 08:00:00,-9.0,100.0,42,37,37,6336.341863253699,5458.894015620317,6182.778241073127,5458.894015620317,2,0.861521384645933,0.8829192642485642,0.8809523809523809,0.16666666666666666
2024-07-02 08:00:00,-9.0,110.0,11,4,4,1097.170533975907,776.1031379367914,761.3823658210755,776.1031379367914,2,0.70736782833965,1.0193342698446148,0.36363636363636365,0.16666666666666666
2024-07-02 08:00:00,-9.0,120.0,34,33,33,14349.982872750075,13630.167854712541,14315.655204584116,13630.167854712541,1,0.949838614831769,0.9521162433660689,0.9705882352941176,0.08333333333333333
2024-07-02 08:00:00,-9.0,130.0,45,45,45,5889.71396330475,5534.992870364548,5889.71396330475,5534.992870364548,1,0.9397727809618167,0.9397727809618167,1.0,0.08333333333333333
2024-07-02 08:00:00,-9.0,140.0,26,24,24,1337.0296635207037,1268.8745883952274,1306.5556835274272,1268.8745883952274,2,0.9490250089545444,0.9711599776364153,0.9230769230769231,0.16666666666666666
2024-07-02 08:00:00,-9.0,150.0,12,10,10,443.08455461125783,397.0651173755948,417.9514893281407,397.0651173755948,2,0.8961384757001102,0.9500268033830412,0.8333333333333334,0.16666666666666666
2024-07-02 08:00:00,-9.0,160.0,71,69,67,5796.3993914768425,5631.808872459527,5721.967397131603,5540.833492725258,2,0.9716046966571467,0.9683441215521174,0.9436619718309859,0.16666666666666666
2024-07-02 08:00:00,-9.0,170.0,135,133,132,58391.36611516467,57163.65392939671,58214.22881654131,57153.581258137754,2,0.9789744226338778,0.9817802695326237,0.9777777777777777,0.16666666666666666
2024-07-02 08:00:00,-9.0,180.0,93,93,91,22228.25380467685,21417.130912739056,22161.9931149139,21365.34071896338,2,0.9635093741926263,0.9640532152582245,0.978494623655914,0.16666666666666666
2024-07-02 08:00:00,-9.0,190.0,69,66,66,14046.333701439533,13262.956160754009,13724.742147673373,13262.956160754009,2,0.9442290381720577,0.9663537586389085,0.9565217391304348,0.16666666666666666
2024-07-02 08:00:00,-9.0,200.0,76,77,76,11109.674732278727,10715.413688889977,11109.674732278727,10694.009615440398,2,0.9645119184053842,0.9625853027334248,1.0,0.16666666666666666
2024-07-02 08:00:00,-9.0,210.0,54,54,54,17994.847230054347,17558.349981061598,17994.847230054347,17558.349981061598,1,0.9757432089635233,0.9757432089635233,1.0,0.08333333333333333
2024-07-02 08:00:00,-9.0,220.0,73,70,68,13435.17192203055,13136.357423079282,13329.767064472115,13110.582965744283,1,0.9777587885971685,0.9835567945285387,0.9315068493150684,0.08333333333333333
2024-07-02 08:00:00,-9.0,230.0,64,61,60,6667.361267195965,6578.248532307757,6591.056708773998,6567.427698781048,1,0.9866344823211168,0.9964149891228374,0.9375,0.08333333333333333
2024-07-02 08:00:00,-9.0,240.0,22,22,21,727.3477350476595,715.4979589998028,711.9156002568199,704.3261753118194,1,0.9837082381963006,0.9893394316092208,0.9545454545454546,0.08333333333333333
