tau_over_thalf,D_norm_median,D_norm_q25,D_norm_q75,n_points
0.13562457065431419,0.9722087178296386,0.8299795226510528,1.2818965660608992,1796
0.40666079258835697,0.8068779651869225,0.6894277658222583,0.9580441443966278,1053
0.6776970145223997,0.7262613446159172,0.6214807726042237,0.8603578324652741,910
0.9487332364564427,0.5286647103645131,0.4691154448271991,0.6592850636695209,917
1.2197694583904855,0.4290716167933642,0.33404856415242773,0.6394282733345716,719
1.4908056803245282,0.3932752510283173,0.24843404028289176,0.6621768238187737,652
1.7618419022585712,0.3950045385476,0.21222738676916728,0.6951112441382719,580
2.0328781241926137,0.32164214457162155,0.17527365677232645,0.6430633789613733,706
2.303914346126657,0.3811674479245532,0.1737108946858397,0.6817471536060016,523
2.574950568060699,0.35669334376559586,0.17193119267865095,0.6663569116946446,455
2.8459867899947424,0.31288272789452437,0.15237031776895893,0.5712518578746856,471
3.117023011928785,0.2474972903200774,0.11697773150799594,0.4989867925724206,558
3.388059233862828,0.3402752085180823,0.1567843799017509,0.6151994821245284,378
3.659095455796871,0.3217252814608263,0.1262566269827315,0.6301184311101304,395
3.9301316777309134,0.20285151457432296,0.07425686025921563,0.5132452095649546,524
4.201167899664956,0.3640932259555239,0.15457555699190553,0.6152968041376676,335
4.472204121598999,0.3365874727402863,0.1192340453409679,0.5925174623993613,349
4.743240343533042,0.2858841574046124,0.12050117103666105,0.5885602025862622,327
5.0142765654670844,0.2546291993522655,0.09709914201709686,0.4841517597673493,441
5.285312787401127,0.2973013210000873,0.1340481518106263,0.59308511777477,298
5.55634900933517,0.32360292285242576,0.12055425802762498,0.5984432724531065,286
5.827385231269213,0.3539691391884281,0.1620859688683225,0.6409552844668005,259
6.0984214532032555,0.23180132441605117,0.09807015263454436,0.5132739065943994,392
6.369457675137299,0.37955805209249327,0.1569360858513477,0.6551371956684471,251
6.640493897071341,0.33747572659470476,0.13723526120461582,0.5596913752327918,241
6.911530119005384,0.2466135523866103,0.10652865227403929,0.5176485288818191,367
7.182566340939427,0.33147390563125556,0.1260851756879085,0.622882459865187,227
7.45360256287347,0.3133296288249525,0.12604603707845716,0.6271910623851629,205
7.724638784807512,0.2882212309671164,0.14431593528939135,0.529401353808578,178
7.995675006741555,0.19479831895385952,0.08903840708741215,0.44517181542318734,308
8.266711228675598,0.26748888872567755,0.10601881948142783,0.553644991785619,136
8.537747450609642,0.29252233688794305,0.15414846422644424,0.49929578132418106,126
8.808783672543685,0.27934105652723906,0.12962149121664113,0.5080696697883189,114
9.079819894477728,0.20442812466406082,0.08372034105037064,0.39842141005722587,261
9.35085611641177,0.35589783348514664,0.1337167988467027,0.5470044684854195,86
9.621892338345813,0.3079567531158654,0.13490120655500135,0.4937515230361961,85
9.892928560279856,0.21062564776327777,0.08965175228722293,0.4458431471737476,215
10.163964782213899,0.3500709842182885,0.18228651586398503,0.5369637779352394,82
10.435001004147942,0.3131711439399037,0.13357234775507437,0.5151573902427684,63
10.706037226081984,0.30828573577316654,0.1174265067970549,0.5595485536206977,84
10.977073448016027,0.23561602957376307,0.10199481692966626,0.43255396592513556,173
11.24810966995007,0.2735940553210032,0.1370052877317404,0.47665438652533276,66
11.519145891884113,0.27647872396542683,0.15967664208033883,0.4363147003648268,39
11.790182113818155,0.21380563468192731,0.09777143671757346,0.49283135415895996,60
12.061218335752198,0.2119704535681104,0.07464027194597554,0.3805481716807431,159
12.332254557686241,0.2638597170621925,0.13330643416651058,0.5347086837249252,35
12.603290779620284,0.19671377603629564,0.09446827132033121,0.39321522412659327,49
12.874327001554327,0.23026787037434027,0.08702783787720683,0.3947891868074903,132
13.14536322348837,0.2428494573689341,0.11932197649122536,0.44305057937065795,31
