slug,mean,std,median,count
flooding_in_central_and_eastern_europe_sept_16_2024,0.9451086781752582,0.6758273814857512,0.9207149579101708,5613
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,1.428082409555732,0.9552439728683845,1.495832698969819,363
hurricane_beryl_across_southeastern_texas_us,1.3192522944773157,0.7311975385245453,1.256820015688922,1208
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,1.2414165746872516,0.8500281699762214,1.04953517706134,3881
park_fire_california_29_july_2024,1.308379013028028,1.1285063989526376,1.0590542720403429,207
spain_flood,0.6785111801601336,0.7694349239171673,0.3919734996941032,454
the_flooding_across_bagmati_and_koshi_provinces_nepal,1.5498674267932104,0.5144880514297958,1.416712994398529,321
the_flooding_across_rio_grande_do_sul_state_brazil,1.393946931875412,0.7565515591593078,1.283584230464839,1304
the_wildfires_in_quito_pichincha_province_ecuador,0.7991961006406226,0.4954442038488977,0.6205316275421829,137
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,1.5789667093183752,0.41889305856357556,1.4767010483422185,217
tropical_storm_yagi_philippines_2_september_2024,1.2031266922661341,0.5283719221614348,1.1640627188585808,141
turkiye_earthquake_2023,0.5819221415300322,0.5208094237974187,0.4207477190068442,4108
typhoon_krathon_across_taiwan,0.4819153902061751,0.3621276006828756,0.3485345115023396,91
typhoon_yagi_across_northeastern_vietnam,1.0038027514362275,0.5603537640639494,0.9022055408143136,144
