slug,event_type,alpha_event_pooled,r2_event_pooled,alpha_unit_median,alpha_unit_mean,alpha_unit_std,alpha_unit_cv,n_units,n_obs
flooding_in_central_and_eastern_europe_sept_16_2024,flood,0.15446342487332101,0.011825291391936835,0.855838774239712,0.9178528777033124,0.6819624801996289,0.7429975944576894,227,5613
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,0.5194452306999254,0.08573402319880268,1.3133241996440013,1.3645547841073922,0.9673190245248836,0.7088898414273959,33,363
hurricane_beryl_across_southeastern_texas_us,hurricane,0.6424516213528122,0.1576886416518263,1.193046344776946,1.2772892142686907,0.74618067543539,0.5841908528622581,101,1208
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,hurricane,0.36933961696260575,0.04679163842153876,1.05186810305454,1.2489531890572372,0.8617440533532346,0.6899730597619239,338,3881
park_fire_california_29_july_2024,wildfire,0.32365973946046195,0.05358320325582919,1.0166633778039371,1.2823042115534942,1.1296646657717222,0.8809646381829697,16,207
spain_flood,flood,0.4923093210624435,0.11527290936978933,0.3314877631805023,0.6361458223937583,0.7493004633783245,1.1778753188361368,74,454
the_flooding_across_bagmati_and_koshi_provinces_nepal,flood,0.3320904937129133,0.034266436191383004,1.416712994398529,1.5492701956982913,0.524528895906727,0.3385651498125606,23,321
the_flooding_across_rio_grande_do_sul_state_brazil,flood,0.3486371435316651,0.05718907632406474,1.283584230464839,1.3830872820877356,0.7672443797709094,0.5547331608839416,49,1304
the_wildfires_in_quito_pichincha_province_ecuador,wildfire,0.5373902516576637,0.1330949304993802,0.7292383937420126,0.8950774082701982,0.5753443759556433,0.6427872836915165,13,137
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,tropical_storm,0.3744445500289809,0.05537146930553687,1.4780080375691322,1.6072019995863698,0.42449007220771123,0.26411743658666315,22,217
tropical_storm_yagi_philippines_2_september_2024,tropical_storm,0.13083914064653965,0.005303361483701301,1.1640627188585808,1.2008706783580863,0.5376047394536074,0.4476791291037749,11,141
turkiye_earthquake_2023,earthquake,0.06490640425707542,0.005628990986819245,0.419538929108908,0.5668052238648925,0.5099870384509723,0.8997571246318227,141,4108
typhoon_krathon_across_taiwan,typhoon,0.3316153869521022,0.30181933273608563,0.4479156772275452,0.5374143888700821,0.3808305220019842,0.7086347702797525,18,91
typhoon_yagi_across_northeastern_vietnam,typhoon,0.8135592282416507,0.2720593512546875,0.9022055408143136,0.9722548247539099,0.5886467690244143,0.6054449451288743,15,144
