event_type,n_units,Q_S1,Q_S2
earthquake,141,0.08460824298756076,-0.5735854383202748
flood,373,0.09563749578844771,0.5329436081987747
hurricane,472,0.0724379417248524,0.37990286762040104
tropical_storm,33,0.01920787810018132,0.03173104718367303
typhoon,33,0.5255578118864377,0.8470535056092119
wildfire,29,0.24287174306091408,0.2573029558461738
