slug,event_type,n_units,Q_S1,Q_S2,alpha_median,alpha_IQR
flooding_in_central_and_eastern_europe_sept_16_2024,flood,227,0.053739124768909075,0.5194900104071898,0.855838774239712,1.1117291860337388
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane,33,0.11893531719120898,0.5103633154767935,1.3133241996440013,1.45086740379541
hurricane_beryl_across_southeastern_texas_us,hurricane,101,0.20768444480102677,0.5151076690641231,1.193046344776946,1.0235253549849097
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,hurricane,338,0.06921968510577803,0.27966762261861844,1.05186810305454,1.2278207455438297
park_fire_california_29_july_2024,wildfire,16,0.2939474226021739,0.1320222147560839,1.0166633778039371,0.599261142887648
spain_flood,flood,74,0.1483057119496427,0.6254778058167494,0.3314877631805023,0.8617947519062038
the_flooding_across_bagmati_and_koshi_provinces_nepal,flood,23,0.6090615971463945,0.32694166197482755,1.416712994398529,0.5926719561880236
the_flooding_across_rio_grande_do_sul_state_brazil,flood,49,0.19302172280108298,0.30426690965677095,1.283584230464839,1.0838531032760144
the_wildfires_in_quito_pichincha_province_ecuador,wildfire,13,0.19583970216954572,0.41365515955757537,0.7292383937420126,0.573345157365176
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,tropical_storm,22,0.11598445865182772,0.24846632010128067,1.4780080375691322,0.7597478721225954
tropical_storm_yagi_philippines_2_september_2024,tropical_storm,11,0.20902547449686004,0.17518579283468283,1.1640627188585808,0.7444163358479021
turkiye_earthquake_2023,earthquake,141,0.08460824298756076,-0.5735854383202748,0.419538929108908,0.44439743350451116
typhoon_krathon_across_taiwan,typhoon,18,0.53547260710998,0.09204743372020674,0.4479156772275452,0.571373350292119
typhoon_yagi_across_northeastern_vietnam,typhoon,15,0.4338342538556832,0.9036705915549414,0.9022055408143136,0.7229920741804798
