slug_i,slug_j,n_overlap_bins,corr_u1_norm
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane_beryl_across_southeastern_texas_us,21,0.17832500920387687
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane_beryl_pre_landfall_2024,19,0.40407462978488257
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane_ernesto_puerto_rico_14_august_2024,18,-0.07163261288789032
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,21,0.29795696051446013
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane_john_southern_mexico_25_september_2024,21,0.45344204882116596
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,hurricane_milton_across_florida_us,21,-0.2869775634180757
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,tropical_storm_debby_united_states_pre_landfall_4_august_2024,20,0.35250330515722456
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,tropical_storm_kristine_in_bicol_and_calabarzon_philippines,15,-0.049625238690095906
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,tropical_storm_yagi_philippines_2_september_2024,21,-0.17637644056247265
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,typhoon_krathon_across_taiwan,21,0.08101479585878121
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,typhoon_yagi_across_northeastern_vietnam,18,0.3069134587685344
hurricane_beryl_across_southeastern_texas_us,hurricane_beryl_pre_landfall_2024,19,0.46785365323705236
hurricane_beryl_across_southeastern_texas_us,hurricane_ernesto_puerto_rico_14_august_2024,18,0.19542816722157955
hurricane_beryl_across_southeastern_texas_us,hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,21,0.1586686673744344
hurricane_beryl_across_southeastern_texas_us,hurricane_john_southern_mexico_25_september_2024,21,0.51695245439039
hurricane_beryl_across_southeastern_texas_us,hurricane_milton_across_florida_us,21,-0.6353348103728088
hurricane_beryl_across_southeastern_texas_us,tropical_storm_debby_united_states_pre_landfall_4_august_2024,20,0.40576318417497403
hurricane_beryl_across_southeastern_texas_us,tropical_storm_kristine_in_bicol_and_calabarzon_philippines,15,-0.05730380552782847
hurricane_beryl_across_southeastern_texas_us,tropical_storm_yagi_philippines_2_september_2024,21,-0.4207213039567122
hurricane_beryl_across_southeastern_texas_us,typhoon_krathon_across_taiwan,21,0.31985867733188666
hurricane_beryl_across_southeastern_texas_us,typhoon_yagi_across_northeastern_vietnam,18,0.6524464248471421
hurricane_beryl_pre_landfall_2024,hurricane_ernesto_puerto_rico_14_august_2024,16,-0.12144829512221143
hurricane_beryl_pre_landfall_2024,hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,19,0.20562426039130002
hurricane_beryl_pre_landfall_2024,hurricane_john_southern_mexico_25_september_2024,19,0.6143022614649709
hurricane_beryl_pre_landfall_2024,hurricane_milton_across_florida_us,19,-0.5346602929511776
hurricane_beryl_pre_landfall_2024,tropical_storm_debby_united_states_pre_landfall_4_august_2024,18,0.3370898654604937
hurricane_beryl_pre_landfall_2024,tropical_storm_kristine_in_bicol_and_calabarzon_philippines,13,0.6395638756812425
hurricane_beryl_pre_landfall_2024,tropical_storm_yagi_philippines_2_september_2024,19,-0.08452791071408375
hurricane_beryl_pre_landfall_2024,typhoon_krathon_across_taiwan,19,-0.29389988193054983
hurricane_beryl_pre_landfall_2024,typhoon_yagi_across_northeastern_vietnam,16,0.3998945303851994
hurricane_ernesto_puerto_rico_14_august_2024,hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,18,0.4794285850960686
hurricane_ernesto_puerto_rico_14_august_2024,hurricane_john_southern_mexico_25_september_2024,18,0.13092493432729777
hurricane_ernesto_puerto_rico_14_august_2024,hurricane_milton_across_florida_us,18,-0.2601549357116114
hurricane_ernesto_puerto_rico_14_august_2024,tropical_storm_debby_united_states_pre_landfall_4_august_2024,18,-0.20671972591414725
hurricane_ernesto_puerto_rico_14_august_2024,tropical_storm_kristine_in_bicol_and_calabarzon_philippines,15,0.18120293627960818
hurricane_ernesto_puerto_rico_14_august_2024,tropical_storm_yagi_philippines_2_september_2024,18,-0.6207330023088671
hurricane_ernesto_puerto_rico_14_august_2024,typhoon_krathon_across_taiwan,18,0.219373984188658
hurricane_ernesto_puerto_rico_14_august_2024,typhoon_yagi_across_northeastern_vietnam,15,0.9057231573964734
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane_john_southern_mexico_25_september_2024,21,0.035459486731393965
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane_milton_across_florida_us,21,-0.25396138818296227
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,tropical_storm_debby_united_states_pre_landfall_4_august_2024,20,0.095529494903617
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,tropical_storm_kristine_in_bicol_and_calabarzon_philippines,15,0.20448710770986306
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,tropical_storm_yagi_philippines_2_september_2024,21,-0.42019306387488753
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,typhoon_krathon_across_taiwan,21,0.08883192001586981
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,typhoon_yagi_across_northeastern_vietnam,18,0.36380576005270737
hurricane_john_southern_mexico_25_september_2024,hurricane_milton_across_florida_us,21,-0.567375646066121
hurricane_john_southern_mexico_25_september_2024,tropical_storm_debby_united_states_pre_landfall_4_august_2024,20,0.5818784795580786
hurricane_john_southern_mexico_25_september_2024,tropical_storm_kristine_in_bicol_and_calabarzon_philippines,15,0.6668665618958595
hurricane_john_southern_mexico_25_september_2024,tropical_storm_yagi_philippines_2_september_2024,21,-0.2176929060753929
hurricane_john_southern_mexico_25_september_2024,typhoon_krathon_across_taiwan,21,0.14647648860202092
hurricane_john_southern_mexico_25_september_2024,typhoon_yagi_across_northeastern_vietnam,18,0.7393047263319054
hurricane_milton_across_florida_us,tropical_storm_debby_united_states_pre_landfall_4_august_2024,20,-0.10505584574586282
hurricane_milton_across_florida_us,tropical_storm_kristine_in_bicol_and_calabarzon_philippines,15,-0.55615705315815
hurricane_milton_across_florida_us,tropical_storm_yagi_philippines_2_september_2024,21,0.26426616555790133
hurricane_milton_across_florida_us,typhoon_krathon_across_taiwan,21,-0.009714614818077
hurricane_milton_across_florida_us,typhoon_yagi_across_northeastern_vietnam,18,-0.7852886398982073
tropical_storm_debby_united_states_pre_landfall_4_august_2024,tropical_storm_kristine_in_bicol_and_calabarzon_philippines,15,0.36678823471188776
tropical_storm_debby_united_states_pre_landfall_4_august_2024,tropical_storm_yagi_philippines_2_september_2024,20,-0.3546533139372113
tropical_storm_debby_united_states_pre_landfall_4_august_2024,typhoon_krathon_across_taiwan,20,0.12846559864617266
tropical_storm_debby_united_states_pre_landfall_4_august_2024,typhoon_yagi_across_northeastern_vietnam,17,0.17266240902786736
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,tropical_storm_yagi_philippines_2_september_2024,15,-0.2295672310477959
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,typhoon_krathon_across_taiwan,15,-0.32919016850100885
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,typhoon_yagi_across_northeastern_vietnam,12,0.7705097357896258
tropical_storm_yagi_philippines_2_september_2024,typhoon_krathon_across_taiwan,21,-0.6121265156569865
tropical_storm_yagi_philippines_2_september_2024,typhoon_yagi_across_northeastern_vietnam,18,-0.509218319264632
typhoon_krathon_across_taiwan,typhoon_yagi_across_northeastern_vietnam,18,0.3435813638005589
