scheme_id,edges_km,winner_lo_km,winner_hi_km,winner_mid_km,winner_median_tau_hours,winner_n_tiles
0,"25.01,53.88,93.38,160.08",0.0,25.007689640853346,12.503844820426673,557.7347700637906,260
1,"22.31,39.02,101.51,279.60",22.313862644459903,39.021444995263224,29.507950857568048,558.6729311736251,411
2,"22.11,42.82,113.03,218.66",22.105450238167737,42.815675283291434,30.764586449168256,533.2022820519663,523
3,"25.67,39.62,99.27,237.97",0.0,25.66759720112493,12.833798600562465,541.7076818324955,273
4,"17.86,44.59,62.17,144.88",17.86461941830473,44.59488048778636,28.225353282449575,542.6101894705942,632
5,"15.78,47.15,72.84,214.03",15.775246990997992,47.14604963579318,27.27160753704278,541.7076818324955,737
6,"26.00,47.72,53.30,174.80",0.0,25.999143535178842,12.999571767589421,541.7076818324955,277
7,"24.70,51.44,68.21,177.48",0.0,24.69869945287536,12.34934972643768,564.4575796028357,250
8,"19.57,40.85,130.37,163.44",19.574859324321167,40.846195990883565,28.276466194614862,543.5126971086929,509
9,"24.80,62.37,86.42,194.49",0.0,24.79756340713504,12.39878170356752,564.4575796028357,252
10,"25.70,50.80,73.62,203.84",0.0,25.7000223276402,12.8500111638201,541.7076818324955,273
11,"33.96,35.11,123.97,206.06",0.0,33.961816040975236,16.980908020487618,523.1623118478767,472
12,"21.30,82.44,120.99,148.19",0.0,21.29576499330596,10.64788249665298,564.4575796028357,176
13,"25.47,57.75,95.39,237.23",0.0,25.470091515649695,12.735045757824848,541.7076818324955,271
14,"24.59,59.08,143.28,168.92",0.0,24.58770435040571,12.293852175202854,553.1542688511203,245
15,"26.30,44.53,103.23,148.64",26.302407567004142,44.531469156210775,34.224039085182945,545.410275141862,470
16,"21.63,47.61,125.19,266.30",21.629333498637646,47.606724021983425,32.08896555903733,545.8019892925375,669
17,"17.96,40.99,117.55,121.54",17.957248987874404,40.99140513730999,27.13103146608159,561.8018606828182,534
18,"22.27,48.80,136.92,237.62",22.266501153706926,48.798582924769505,32.96321742478491,559.1375372829016,696
19,"23.04,45.60,93.94,292.72",23.036328499577465,45.59869200021623,32.41028306059724,544.2400506532547,583
20,"22.46,46.34,109.21,194.05",22.46300175305641,46.344513241446094,32.26510316405558,541.3370513922785,612
21,"23.80,37.85,99.71,179.01",23.796886858968104,37.8452781193572,30.009995027532483,535.0879302110558,343
22,"33.46,58.87,99.40,236.37",0.0,33.461909729024654,16.730954864512327,518.6589438281218,464
23,"22.96,65.04,99.87,231.40",0.0,22.963555986959776,11.481777993479888,572.7253846927264,207
24,"18.10,54.53,65.57,120.24",0.0,18.10435493613039,9.052177468065196,572.7253846927264,129
25,"23.17,39.93,104.19,350.55",0.0,23.16764296619473,11.583821483097365,564.4575796028357,214
