slug,name,event_type,hours_since_quake,g1,abs_g1,sigma1_energy,r_max_km,mode_used
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,0.0,-0.6474585958645893,0.6474585958645893,0.6077947886654546,200.0,fill_missing
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,24.0,-0.19697013409073902,0.19697013409073902,0.6077947886654546,200.0,fill_missing
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,48.0,-0.14608021664875634,0.14608021664875634,0.6077947886654546,200.0,fill_missing
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,72.0,-0.1448089699398615,0.1448089699398615,0.6077947886654546,200.0,fill_missing
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,96.0,-0.02179675473881841,0.02179675473881841,0.6077947886654546,200.0,fill_missing
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,120.0,-0.09168209546815805,0.09168209546815805,0.6077947886654546,200.0,fill_missing
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,144.0,-0.0248461836556634,0.0248461836556634,0.6077947886654546,200.0,fill_missing
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,168.0,-0.09487114817349718,0.09487114817349718,0.6077947886654546,200.0,fill_missing
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,192.0,-0.06508755323532728,0.06508755323532728,0.6077947886654546,200.0,fill_missing
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,216.0,-0.05036827225078338,0.05036827225078338,0.6077947886654546,200.0,fill_missing
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,240.0,-0.12328006379413681,0.12328006379413681,0.6077947886654546,200.0,fill_missing
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,264.0,0.017485034060162042,0.017485034060162042,0.6077947886654546,200.0,fill_missing
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,288.0,0.014227063142272867,0.014227063142272867,0.6077947886654546,200.0,fill_missing
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,312.0,-0.04517872276207009,0.04517872276207009,0.6077947886654546,200.0,fill_missing
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,0.0,-0.6721187820760469,0.6721187820760469,0.8725584560521702,200.0,fill_missing
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,24.0,-0.4166173499823522,0.4166173499823522,0.8725584560521702,200.0,fill_missing
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,48.0,-0.2816020172701989,0.2816020172701989,0.8725584560521702,200.0,fill_missing
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,72.0,-0.21245353979764947,0.21245353979764947,0.8725584560521702,200.0,fill_missing
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,96.0,-0.1698857802772715,0.1698857802772715,0.8725584560521702,200.0,fill_missing
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,120.0,-0.12880461962148723,0.12880461962148723,0.8725584560521702,200.0,fill_missing
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,144.0,-0.13288066622733977,0.13288066622733977,0.8725584560521702,200.0,fill_missing
