slug,storm_name,r_bin_km,phi_mean,n_tiles_mean,n_tiles_crisis_mean,n_tiles_overlap_mean,baseline_sum_mean,crisis_sum_mean,n_eff_mean,r_center_km,abs_dev
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,0.0,0.937651600495976,290.6666666666667,249.0,239.33333333333334,65223.63272867233,61138.066820793225,249.0,5.0,0.062348399504024044
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,10.0,0.9433455303393373,253.33333333333334,230.0,219.66666666666666,49532.70602721598,46714.480204924745,230.0,15.0,0.056654469660662676
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,20.0,0.9515242101054843,222.0,196.0,187.33333333333334,121289.07841628189,115385.82904303807,196.0,25.0,0.04847578989451573
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,30.0,0.9823334905804121,201.0,185.0,178.33333333333334,254228.9572203209,249710.05248746622,185.0,35.0,0.017666509419587917
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,40.0,0.9690587229180441,166.0,149.33333333333334,143.0,67570.56162779607,65478.5522591648,149.33333333333334,45.0,0.03094127708195593
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,50.0,0.9378280696261586,143.66666666666666,127.33333333333333,121.33333333333333,26046.52397661914,24421.492788050757,127.33333333333333,55.0,0.06217193037384139
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,60.0,1.0033480109604194,192.0,177.66666666666666,170.0,146388.72246389132,146873.32300299182,177.66666666666666,65.0,0.0033480109604193675
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,70.0,0.9789535201733198,148.33333333333334,131.66666666666666,122.66666666666667,25817.205288022058,25275.901736673186,131.66666666666666,75.0,0.021046479826680176
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,80.0,0.9978367457849564,192.0,176.0,165.0,44504.00280681681,44406.33155084334,176.0,85.0,0.0021632542150435974
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,90.0,0.9621997078831065,102.33333333333333,90.0,84.66666666666667,17440.669250720544,16779.445379458168,90.0,95.0,0.03780029211689351
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,100.0,0.9645258066119927,121.0,109.33333333333333,103.0,19711.298841776348,19012.15042783725,109.33333333333333,105.0,0.03547419338800728
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,110.0,1.0337919432411466,118.66666666666667,110.33333333333333,107.33333333333333,116481.37681543436,120457.90314421481,110.33333333333333,115.0,0.03379194324114665
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,120.0,1.0221084340706834,100.66666666666667,98.33333333333333,93.33333333333333,176288.86031056053,180181.69149915664,98.33333333333333,125.0,0.022108434070683414
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,130.0,0.8693984829032061,77.33333333333333,68.66666666666667,66.33333333333333,23723.293221656233,20627.57761493654,68.66666666666667,135.0,0.1306015170967939
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,170.0,0.930586305243247,74.66666666666667,68.66666666666667,65.0,3384.4730531459504,3149.8447532629234,68.66666666666667,175.0,0.06941369475675296
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,180.0,0.9914675565230183,75.33333333333333,69.66666666666667,65.66666666666667,58611.05687844699,58134.7460723152,69.66666666666667,185.0,0.008532443476981677
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,190.0,0.9971536656143986,86.0,81.0,77.66666666666667,76421.53802817978,76159.38336411107,81.0,195.0,0.0028463343856014456
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,420.0,0.8775532151715232,56.333333333333336,51.666666666666664,48.666666666666664,7796.671117684408,6844.745726351142,51.666666666666664,425.0,0.12244678482847682
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,430.0,0.9396762732096736,80.0,73.0,67.66666666666667,5256.237965243057,4940.097671710969,73.0,435.0,0.06032372679032638
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,440.0,0.9684886400429371,59.666666666666664,56.666666666666664,50.0,3378.1483862902533,3269.925676502451,56.666666666666664,445.0,0.03151135995706289
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,450.0,0.9713114912510701,96.33333333333333,88.0,83.66666666666667,13015.858992079075,12641.75569746609,88.0,455.0,0.02868850874892992
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,Beryl,460.0,0.9673666799037884,88.66666666666667,90.66666666666667,82.33333333333333,3415.5256428534026,3300.911019542382,88.66666666666667,465.0,0.03263332009621156
