t_start_hours,t_end_hours,duration_hours,n_windows
0.0,0.0,0.0,1
40.0,56.0,16.0,3
80.0,88.0,8.0,2
248.0,248.0,0.0,1
272.0,272.0,0.0,1
288.0,296.0,8.0,2
312.0,312.0,0.0,1
336.0,336.0,0.0,1
360.0,360.0,0.0,1
400.0,416.0,16.0,3
432.0,432.0,0.0,1
464.0,464.0,0.0,1
480.0,488.0,8.0,2
504.0,504.0,0.0,1
768.0,768.0,0.0,1
792.0,800.0,8.0,2
816.0,816.0,0.0,1
