distance_band,n_points_phi_mean,corr_net_phi_mean_overlap_minus_1,n_points_phi_aggregate,corr_net_phi_aggregate
0-25km,17,-0.5503073690688859,17,-0.5329897851950048
25-50km,17,0.5106923322507322,17,0.5276223711207669
50-100km,17,-0.2507784959795462,17,-0.27746001998525827
100-200km,17,0.0095944094448663,17,-0.022418283225640975
200km+,17,0.5306456460940313,17,0.5811089136046523
