window_start_pt,hours_since_quake,only_hour_pt,distance_band,n_od,start_sum,end_sum,same_sum,N_out,N_in,Net,phi_aggregate,baseline_mean_overlap,crisis_mean_overlap,phi_mean_overlap_ratio,phi_mean_overlap_minus_1
2024-07-29 08:00:00,-8.0,8,0-25km,208,28729.0,28680.0,28582.0,147.0,98.0,-49.0,1.0065069711007586,258.9836405693379,261.3561589629614,1.0091608813143866,0.009160881314386637
2024-07-29 08:00:00,-8.0,8,25-50km,933,114709.0,114882.0,114466.0,243.0,416.0,173.0,1.0094184117683802,310.2487607929985,313.2163578161973,1.0095652179741623,0.009565217974162321
2024-07-29 08:00:00,-8.0,8,50-100km,1176,81643.0,81730.0,80777.0,866.0,953.0,87.0,1.0250614417944637,118.4875489471112,121.21109440639135,1.0229859211662473,0.022985921166247314
2024-07-29 08:00:00,-8.0,8,100-200km,3954,343504.0,342969.0,342302.0,1202.0,667.0,-535.0,1.0237104153715295,223.21530948281872,228.33214215927316,1.0229233052531654,0.022923305253165438
2024-07-29 08:00:00,-8.0,8,200km+,941,46788.0,47112.0,46765.0,23.0,347.0,324.0,1.0250098315125376,88.99215491632891,90.51089006223216,1.0170659441535175,0.017065944153517476
2024-07-30 08:00:00,16.0,8,0-25km,220,28325.0,28269.0,28122.0,203.0,147.0,-56.0,1.0182343773732585,253.945592051104,257.18792963059747,1.0127678435105145,0.01276784351051452
2024-07-30 08:00:00,16.0,8,25-50km,987,113323.0,113573.0,113048.0,275.0,525.0,250.0,1.0091139883824147,312.768576142329,315.9533468455923,1.01018251495257,0.010182514952570054
2024-07-30 08:00:00,16.0,8,50-100km,1193,80583.0,80615.0,79500.0,1083.0,1115.0,32.0,1.0268224942238398,119.62756662870348,122.58281652903987,1.0247037533540142,0.024703753354014202
2024-07-30 08:00:00,16.0,8,100-200km,4234,343199.0,342601.0,341809.0,1390.0,792.0,-598.0,1.0235681730328918,223.75187292268745,228.68073180225596,1.0220282351838528,0.022028235183852773
2024-07-30 08:00:00,16.0,8,200km+,975,46799.0,47171.0,46768.0,31.0,403.0,372.0,1.0254330449328397,89.71162313248765,90.98871473465834,1.0142355199647282,0.01423551996472816
2024-07-31 08:00:00,40.0,8,0-25km,231,28403.0,28426.0,28235.0,168.0,191.0,23.0,1.0238900883490325,257.06766101595065,263.50566472230264,1.0250440046830804,0.025044004683080434
2024-07-31 08:00:00,40.0,8,25-50km,979,113205.0,113496.0,112903.0,302.0,593.0,291.0,1.0168997713921712,309.1988302081764,314.4973276971377,1.017136214536756,0.017136214536755956
2024-07-31 08:00:00,40.0,8,50-100km,1179,79978.0,79833.0,78770.0,1208.0,1063.0,-145.0,1.0336873814177063,118.2109077489722,121.99250959838666,1.0319902953240567,0.03199029532405673
2024-07-31 08:00:00,40.0,8,100-200km,4206,339654.0,339152.0,338307.0,1347.0,845.0,-502.0,1.0292597062773174,224.2289899940613,230.7369306210806,1.0290236361818856,0.029023636181885637
2024-07-31 08:00:00,40.0,8,200km+,959,46616.0,46949.0,46564.0,52.0,385.0,333.0,1.0338600517341614,89.44432376344683,91.52436470955064,1.0232551475441292,0.023255147544129162
2024-08-01 08:00:00,64.0,8,0-25km,222,28564.0,28616.0,28386.0,178.0,230.0,52.0,1.0158538574150504,258.57085997022733,263.7381970207453,1.019984220383971,0.019984220383971074
2024-08-01 08:00:00,64.0,8,25-50km,1017,114127.0,114166.0,113764.0,363.0,402.0,39.0,1.0114477820933196,309.80800910902093,313.64127319528023,1.0123730309532133,0.012373030953213293
2024-08-01 08:00:00,64.0,8,50-100km,1186,80368.0,80538.0,79377.0,991.0,1161.0,170.0,1.0270030124932863,118.79759957518824,121.635001549449,1.0238843375994726,0.023884337599472616
2024-08-01 08:00:00,64.0,8,100-200km,4222,342314.0,341690.0,340873.0,1441.0,817.0,-624.0,1.0249959671557327,222.326801949756,227.8554557977637,1.024867239574908,0.024867239574908107
2024-08-01 08:00:00,64.0,8,200km+,953,46916.0,47279.0,46866.0,50.0,413.0,363.0,1.0296006182638544,89.65904312347195,91.6487466828329,1.0221918892957722,0.022191889295772205
2024-08-02 08:00:00,88.0,8,0-25km,224,29296.0,29355.0,29172.0,124.0,183.0,59.0,1.0193971124640422,259.3706836132889,263.96126482950694,1.0176989209122123,0.017698920912212257
2024-08-02 08:00:00,88.0,8,25-50km,946,115291.0,115282.0,114983.0,308.0,299.0,-9.0,1.010283600220872,304.3623047378697,307.811486745468,1.0113324874792524,0.011332487479252418
2024-08-02 08:00:00,88.0,8,50-100km,1186,82626.0,82692.0,81654.0,972.0,1038.0,66.0,1.027899828282076,118.37643738779845,121.6564683449141,1.0277084783889074,0.027708478388907443
2024-08-02 08:00:00,88.0,8,100-200km,4137,349902.0,349503.0,348669.0,1233.0,834.0,-399.0,1.028094285668293,219.87153783957484,225.79694851832127,1.026949421180061,0.02694942118006094
2024-08-02 08:00:00,88.0,8,200km+,920,46900.0,47183.0,46863.0,37.0,320.0,283.0,1.028351881072811,88.94550916231448,90.50729982283548,1.0175589602581387,0.017558960258138745
2024-08-03 08:00:00,112.0,8,0-25km,184,31237.0,31207.0,31186.0,51.0,21.0,-30.0,1.0156852332615525,256.96451122048074,262.05623540304447,1.01981489256388,0.019814892563879916
2024-08-03 08:00:00,112.0,8,25-50km,767,121502.0,121577.0,121446.0,56.0,131.0,75.0,1.0084687792705105,294.23729072825193,297.1437377696592,1.0098779017241957,0.00987790172419567
2024-08-03 08:00:00,112.0,8,50-100km,1038,89774.0,89916.0,89487.0,287.0,429.0,142.0,1.0258971378985258,118.84685064184563,121.746702001331,1.0243999007447349,0.02439990074473486
2024-08-03 08:00:00,112.0,8,100-200km,3274,367024.0,366768.0,366551.0,473.0,217.0,-256.0,1.0254525655261275,216.93721256823852,222.4567536521616,1.0254430349619565,0.025443034961956545
2024-08-03 08:00:00,112.0,8,200km+,768,47416.0,47485.0,47406.0,10.0,79.0,69.0,1.0186741620726494,84.97632842966618,86.08322250061008,1.0130259107612547,0.0130259107612547
2024-08-04 08:00:00,136.0,8,0-25km,172,32351.0,32335.0,32335.0,16.0,0.0,-16.0,1.0153783391766729,264.44787825370133,269.80908851682403,1.0202732209406473,0.02027322094064732
2024-08-04 08:00:00,136.0,8,25-50km,744,125199.0,125214.0,125165.0,34.0,49.0,15.0,1.0053146487959597,301.2887504123568,303.1445694788243,1.006159602918886,0.006159602918885954
2024-08-04 08:00:00,136.0,8,50-100km,999,91432.0,91575.0,91295.0,137.0,280.0,143.0,1.019529908045296,121.62889889751548,124.21456767807165,1.0212586712861296,0.02125867128612957
2024-08-04 08:00:00,136.0,8,100-200km,3013,368912.0,368720.0,368604.0,308.0,116.0,-192.0,1.0225627737132943,220.03274352546137,225.02033363396367,1.0226674904316009,0.02266749043160088
2024-08-04 08:00:00,136.0,8,200km+,759,48741.0,48791.0,48729.0,12.0,62.0,50.0,1.0116380413944823,85.3069912959327,85.85906634153712,1.0064716272044953,0.006471627204495345
2024-08-05 08:00:00,160.0,8,0-25km,217,28940.0,28974.0,28779.0,161.0,195.0,34.0,1.0112118333049154,258.30616512262185,261.4958629883864,1.012348516204599,0.012348516204599091
2024-08-05 08:00:00,160.0,8,25-50km,939,114817.0,114865.0,114490.0,327.0,375.0,48.0,1.000967148714886,312.82308017552305,313.3095391379114,1.0015550609696553,0.0015550609696552975
2024-08-05 08:00:00,160.0,8,50-100km,1186,81217.0,81336.0,80346.0,871.0,990.0,119.0,1.01392673398762,119.37294641818956,120.85435997130924,1.0124099605276555,0.012409960527655528
2024-08-05 08:00:00,160.0,8,100-200km,4051,344075.0,343636.0,342912.0,1163.0,724.0,-439.0,1.0163310314771592,223.0222935118729,226.7206144067312,1.016582740840038,0.01658274084003808
2024-08-05 08:00:00,160.0,8,200km+,905,46326.0,46564.0,46271.0,55.0,293.0,238.0,1.0075754157086558,90.45071880843058,90.62422904770963,1.0019182848026509,0.0019182848026508825
2024-08-06 08:00:00,184.0,8,0-25km,228,28510.0,28538.0,28332.0,178.0,206.0,28.0,1.0287895010177437,260.9726661809032,268.3989609824149,1.028456216929492,0.028456216929491962
2024-08-06 08:00:00,184.0,8,25-50km,1018,113409.0,113643.0,113068.0,341.0,575.0,234.0,1.0120210127748783,312.3368256699288,316.1191544392624,1.012109775276165,0.012109775276164969
2024-08-06 08:00:00,184.0,8,50-100km,1209,80080.0,79911.0,78852.0,1228.0,1059.0,-169.0,1.0274880928595762,118.6380643708586,121.52107233433745,1.024300868180609,0.024300868180608948
2024-08-06 08:00:00,184.0,8,100-200km,4209,341437.0,341006.0,340122.0,1315.0,884.0,-431.0,1.0257978961874383,223.1295361037544,228.7942675793905,1.0253876361442442,0.02538763614424422
2024-08-06 08:00:00,184.0,8,200km+,965,46680.0,47018.0,46637.0,43.0,381.0,338.0,1.0238746698507195,90.5725778733646,92.04340085815438,1.0162391644284017,0.016239164428401676
2024-08-07 08:00:00,208.0,8,0-25km,229,28980.0,28970.0,28794.0,186.0,176.0,-10.0,1.0277710719813105,261.8463677245964,269.690428100275,1.0299567278471047,0.02995672784710468
2024-08-07 08:00:00,208.0,8,25-50km,1024,115012.0,115167.0,114670.0,342.0,497.0,155.0,1.0196318004713136,310.1908439829682,316.3170795065219,1.0197498915341616,0.019749891534161623
2024-08-07 08:00:00,208.0,8,50-100km,1228,81402.0,81401.0,80219.0,1183.0,1182.0,-1.0,1.0320829037143209,119.0315055552432,122.4676269158224,1.0288673267178365,0.02886732671783654
2024-08-07 08:00:00,208.0,8,100-200km,4324,345745.0,345253.0,344349.0,1396.0,904.0,-492.0,1.0299600859083209,221.99116704245503,228.3679332681508,1.0287253151134443,0.02872531511344434
2024-08-07 08:00:00,208.0,8,200km+,966,46063.0,46411.0,46031.0,32.0,380.0,348.0,1.0286137155622332,90.12453666259356,91.9089795574952,1.0197997455629892,0.019799745562989246
2024-08-08 08:00:00,232.0,8,0-25km,225,28875.0,28904.0,28717.0,158.0,187.0,29.0,1.0254640158859456,260.1649103921145,267.0639736787923,1.0265180391786106,0.02651803917861062
