window_start_pt,hours_since_quake,flow_type,tile_count
2023-02-05 08:00:00,-8.0,inflow,4981
2023-02-05 08:00:00,-8.0,outflow,2785
2023-02-05 08:00:00,-8.0,stable,16145
2023-02-05 08:00:00,-8.0,unknown,3865
2023-02-06 08:00:00,16.0,inflow,7814
2023-02-06 08:00:00,16.0,outflow,3160
2023-02-06 08:00:00,16.0,stable,12936
2023-02-06 08:00:00,16.0,unknown,5870
2023-02-07 08:00:00,40.0,inflow,7301
2023-02-07 08:00:00,40.0,outflow,3178
2023-02-07 08:00:00,40.0,stable,13666
2023-02-07 08:00:00,40.0,unknown,5799
2023-02-08 08:00:00,64.0,inflow,9179
2023-02-08 08:00:00,64.0,outflow,2447
2023-02-08 08:00:00,64.0,stable,12844
2023-02-08 08:00:00,64.0,unknown,5881
2023-02-09 08:00:00,88.0,inflow,7928
2023-02-09 08:00:00,88.0,outflow,2929
2023-02-09 08:00:00,88.0,stable,13927
2023-02-09 08:00:00,88.0,unknown,5703
2023-02-10 08:00:00,112.0,inflow,9664
2023-02-10 08:00:00,112.0,outflow,2316
2023-02-10 08:00:00,112.0,stable,12779
2023-02-10 08:00:00,112.0,unknown,5911
2023-02-11 08:00:00,136.0,inflow,10307
2023-02-11 08:00:00,136.0,outflow,2548
2023-02-11 08:00:00,136.0,stable,12658
2023-02-11 08:00:00,136.0,unknown,5813
2023-02-12 08:00:00,160.0,inflow,12528
2023-02-12 08:00:00,160.0,outflow,1550
2023-02-12 08:00:00,160.0,stable,10457
2023-02-12 08:00:00,160.0,unknown,5827
2023-02-13 08:00:00,184.0,inflow,10793
2023-02-13 08:00:00,184.0,outflow,1899
2023-02-13 08:00:00,184.0,stable,12009
2023-02-13 08:00:00,184.0,unknown,5428
2023-02-14 08:00:00,208.0,inflow,10937
2023-02-14 08:00:00,208.0,outflow,1812
2023-02-14 08:00:00,208.0,stable,12057
2023-02-14 08:00:00,208.0,unknown,5217
2023-02-15 08:00:00,232.0,inflow,10185
2023-02-15 08:00:00,232.0,outflow,1926
2023-02-15 08:00:00,232.0,stable,12574
2023-02-15 08:00:00,232.0,unknown,5094
2023-02-16 08:00:00,256.0,inflow,8923
2023-02-16 08:00:00,256.0,outflow,2283
2023-02-16 08:00:00,256.0,stable,13772
2023-02-16 08:00:00,256.0,unknown,4991
2023-02-17 08:00:00,280.0,inflow,10963
2023-02-17 08:00:00,280.0,outflow,1820
2023-02-17 08:00:00,280.0,stable,12125
2023-02-17 08:00:00,280.0,unknown,4992
2023-02-18 08:00:00,304.0,inflow,10334
2023-02-18 08:00:00,304.0,outflow,2185
2023-02-18 08:00:00,304.0,stable,13057
2023-02-18 08:00:00,304.0,unknown,5075
2023-02-19 08:00:00,328.0,inflow,12014
2023-02-19 08:00:00,328.0,outflow,1363
2023-02-19 08:00:00,328.0,stable,11066
2023-02-19 08:00:00,328.0,unknown,5078
2023-02-20 08:00:00,352.0,inflow,10746
2023-02-20 08:00:00,352.0,outflow,1922
2023-02-20 08:00:00,352.0,stable,11988
2023-02-20 08:00:00,352.0,unknown,5192
2023-02-21 08:00:00,376.0,inflow,10150
2023-02-21 08:00:00,376.0,outflow,1992
2023-02-21 08:00:00,376.0,stable,12572
2023-02-21 08:00:00,376.0,unknown,5194
2023-02-22 08:00:00,400.0,inflow,9903
2023-02-22 08:00:00,400.0,outflow,1949
2023-02-22 08:00:00,400.0,stable,12839
2023-02-22 08:00:00,400.0,unknown,5179
2023-02-23 08:00:00,424.0,inflow,8850
2023-02-23 08:00:00,424.0,outflow,2380
2023-02-23 08:00:00,424.0,stable,13722
2023-02-23 08:00:00,424.0,unknown,5091
2023-02-24 08:00:00,448.0,inflow,10518
2023-02-24 08:00:00,448.0,outflow,1759
2023-02-24 08:00:00,448.0,stable,12665
2023-02-24 08:00:00,448.0,unknown,5310
2023-02-25 08:00:00,472.0,inflow,11240
2023-02-25 08:00:00,472.0,outflow,1750
2023-02-25 08:00:00,472.0,stable,12825
2023-02-25 08:00:00,472.0,unknown,5564
2023-02-26 08:00:00,496.0,inflow,13068
2023-02-26 08:00:00,496.0,outflow,1168
2023-02-26 08:00:00,496.0,stable,10461
2023-02-26 08:00:00,496.0,unknown,5472
2023-02-27 08:00:00,520.0,inflow,11434
2023-02-27 08:00:00,520.0,outflow,1566
2023-02-27 08:00:00,520.0,stable,11824
2023-02-27 08:00:00,520.0,unknown,5195
2023-02-28 08:00:00,544.0,inflow,11659
2023-02-28 08:00:00,544.0,outflow,1422
2023-02-28 08:00:00,544.0,stable,11777
2023-02-28 08:00:00,544.0,unknown,5333
2023-03-01 08:00:00,568.0,inflow,10998
2023-03-01 08:00:00,568.0,outflow,1528
2023-03-01 08:00:00,568.0,stable,12242
2023-03-01 08:00:00,568.0,unknown,5268
2023-03-02 08:00:00,592.0,inflow,9465
2023-03-02 08:00:00,592.0,outflow,1994
2023-03-02 08:00:00,592.0,stable,13657
2023-03-02 08:00:00,592.0,unknown,5174
2023-03-03 08:00:00,616.0,inflow,11932
2023-03-03 08:00:00,616.0,outflow,1489
2023-03-03 08:00:00,616.0,stable,11638
2023-03-03 08:00:00,616.0,unknown,5434
