predictor,component,coef,se,z,p,ci_low,ci_high,converged,fit_strategy,message
D_peak_unit,within,0.20770583312114743,0.0824853932818244,2.5180922931589547,0.011799239852052527,0.04603743303814947,0.3693742332041454,True,lbfgs,
D_peak_unit,between,-0.1173298400132604,3828478.4513784284,-3.064659799012745e-08,0.9999999755475526,-7503679.99761924,7503679.76295956,True,lbfgs,
delta_peak_unit,within,0.07569612203884009,0.06484091691594131,1.1674128874052057,0.24304366915105624,-0.051389739840958834,0.202781983918639,True,lbfgs,
delta_peak_unit,between,-0.009028811149325881,,,,,,True,lbfgs,
