removed_slug,n_after_remove,spearman_rho,spearman_p
flooding_in_central_and_eastern_europe_sept_16_2024,13,-0.7362637362637362,0.004107709360574615
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,13,-0.7857142857142857,0.0014541896038438233
hurricane_beryl_across_southeastern_texas_us,13,-0.8186813186813187,0.0006209883849300386
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,13,-0.8736263736263737,9.528897290370499e-05
park_fire_california_29_july_2024,13,-0.7362637362637362,0.004107709360574615
spain_flood,13,-0.7362637362637362,0.004107709360574615
the_flooding_across_bagmati_and_koshi_provinces_nepal,13,-0.8406593406593407,0.0003190712406937145
the_flooding_across_rio_grande_do_sul_state_brazil,13,-0.7637362637362637,0.002376614797908447
the_wildfires_in_quito_pichincha_province_ecuador,13,-0.7637362637362637,0.002376614797908447
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,13,-0.8076923076923077,0.0008391600097274252
tropical_storm_yagi_philippines_2_september_2024,13,-0.8021978021978022,0.0009687789139250083
turkiye_earthquake_2023,13,-0.7362637362637362,0.004107709360574615
typhoon_krathon_across_taiwan,13,-0.7307692307692307,0.004547733743967148
typhoon_yagi_across_northeastern_vietnam,13,-0.8131868131868131,0.0007236077236996981
