window_start_pt,hours_since_quake,n_od,total_flow_crisis,total_flow_baseline,f_long_crisis,f_long_baseline
2023-02-05 08:00:00,-8.0,28230,4112543.0,3824912.087030342,7.002966291173126e-05,2.6087153814785872e-05
2023-02-06 08:00:00,16.0,43262,3980564.0,3563337.6510420106,0.00012485667860132383,4.816483581439541e-05
2023-02-07 08:00:00,40.0,41812,3911978.0,3555863.337376835,8.895755548727523e-05,3.341827184315099e-05
2023-02-08 08:00:00,64.0,43131,3979213.0,3537756.811376699,0.00012087817364890998,3.844243888179424e-05
2023-02-09 08:00:00,88.0,44174,3976186.0,3520711.2891667276,8.676656474319863e-05,2.9904671425254246e-05
2023-02-10 08:00:00,112.0,44574,3928309.0,3477694.48127921,9.673373454074005e-05,3.037783967109988e-05
2023-02-11 08:00:00,136.0,39341,4081429.0,3620452.8658383507,6.198809289589504e-05,2.708775224459123e-05
2023-02-12 08:00:00,160.0,31877,4268644.0,3824912.087030342,3.420289909395115e-05,2.6087153814785872e-05
2023-02-13 08:00:00,184.0,47161,4060313.0,3563337.6510420097,8.792425608567615e-05,4.816483581439543e-05
2023-02-14 08:00:00,208.0,47803,4036722.0,3555863.337376835,9.90903014871968e-05,3.341827184315099e-05
2023-02-15 08:00:00,232.0,47249,4024243.0,3537756.811376699,8.498492760004801e-05,3.844243888179424e-05
2023-02-16 08:00:00,256.0,47355,4011713.0,3520711.2891667276,0.00010569051175894188,2.9904671425254246e-05
2023-02-17 08:00:00,280.0,47023,3944857.0,3477694.48127921,8.289273857075174e-05,3.037783967109988e-05
2023-02-18 08:00:00,304.0,41122,4003614.0,3620452.8658383507,8.367440017943787e-05,2.7087752244591227e-05
2023-02-19 08:00:00,328.0,32563,4175006.0,3824912.087030342,5.988015346564772e-05,2.6087153814785872e-05
2023-02-20 08:00:00,352.0,49370,4082982.0,3563337.6510420097,9.698793675798718e-05,4.8164835814395425e-05
2023-02-21 08:00:00,376.0,48477,3991473.0,3555863.337376835,9.495241481027179e-05,3.341827184315099e-05
2023-02-23 08:00:00,424.0,48292,3934861.0,3520711.289166728,8.23409009873538e-05,2.9904671425254242e-05
2023-02-24 08:00:00,448.0,47752,3831996.0,3477694.48127921,0.00010386232135941686,3.0377839671099883e-05
2023-02-25 08:00:00,472.0,41928,3915466.0,3620452.8658383507,8.785671999194987e-05,2.7087752244591227e-05
2023-02-26 08:00:00,496.0,33083,4086491.0,3824912.087030342,6.337955962707369e-05,2.6087153814785876e-05
2023-02-27 08:00:00,520.0,49332,3995759.0,3563337.65104201,0.00010811462853490414,4.816483581439543e-05
2023-02-28 08:00:00,544.0,49559,4026167.0,3555863.337376835,7.128367998644865e-05,3.341827184315099e-05
2023-03-01 08:00:00,568.0,49185,3986394.0,3537756.811376699,0.00011213141500815023,3.844243888179424e-05
2023-03-02 08:00:00,592.0,48957,3990363.0,3520711.2891667276,8.796192226120781e-05,2.990467142525425e-05
2023-03-03 08:00:00,616.0,48638,3922938.0,3477694.4812792107,0.00010859208073132942,3.0377839671099877e-05
2023-03-04 08:00:00,640.0,41834,3962083.0,3620452.8658383507,6.511726281352511e-05,2.7087752244591237e-05
2023-03-05 08:00:00,664.0,32743,4259290.0,3824912.087030342,3.9912755412287024e-05,2.6087153814785876e-05
2023-03-06 08:00:00,688.0,48287,3967843.0,3563337.65104201,0.0001713777485651524,4.816483581439543e-05
2023-03-07 08:00:00,712.0,48484,3927194.0,3555863.337376835,9.727046843114956e-05,3.341827184315098e-05
2023-03-08 08:00:00,736.0,48858,3935314.0,3537756.8113766992,8.309375058762782e-05,3.844243888179423e-05
2023-03-09 08:00:00,760.0,48504,3870987.0,3520711.2891667276,8.111626311325768e-05,2.9904671425254246e-05
2023-03-10 08:00:00,784.0,48246,3813978.0,3477694.48127921,9.386525040259803e-05,3.0377839671099883e-05
2023-03-11 08:00:00,808.0,41756,3970265.0,3620452.8658383507,9.09259205619776e-05,2.7087752244591237e-05
2023-03-12 08:00:00,832.0,33196,4147677.0,3824912.087030342,5.0389651846081555e-05,2.6087153814785876e-05
