slug,status,n_rows,n_geo_units,n_windows,message
flooding_in_central_and_eastern_europe_sept_16_2024,ok,2295,85,27,ok
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,ok,663,48,14,ok
hurricane_beryl_across_southeastern_texas_us,ok,1035,69,15,ok
hurricane_john_across_southeastern_guerrero_mexico,ok,427,61,7,ok
hurricane_john_southern_mexico_25_september_2024,ok,1200,80,15,ok
moldova_flooding_2024,ok,280,10,28,ok
spain_flood,ok,780,78,10,ok
the_flooding_across_bagmati_and_koshi_provinces_nepal,ok,165,11,15,ok
the_flooding_across_gujarat_india,ok,467,59,8,ok
turkiye_earthquake_2023,ok,2700,75,36,ok
typhoon_yagi_across_northeastern_vietnam,ok,33,3,11,ok
wildfires_in_boise_county_idaho_27_august_2024,ok,438,34,15,ok
