slug,preprocess_status,n_units_fit,selected
flooding_in_central_and_eastern_europe_sept_16_2024,ok,31,True
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,ok,19,True
hurricane_beryl_across_southeastern_texas_us,ok,26,True
hurricane_john_across_southeastern_guerrero_mexico,ok,13,True
hurricane_john_southern_mexico_25_september_2024,ok,40,True
moldova_flooding_2024,ok,1,True
spain_flood,ok,43,True
the_flooding_across_bagmati_and_koshi_provinces_nepal,ok,5,True
the_flooding_across_gujarat_india,ok,33,True
turkiye_earthquake_2023,ok,47,True
typhoon_yagi_across_northeastern_vietnam,ok,3,True
wildfires_in_boise_county_idaho_27_august_2024,ok,14,True
