slug,name,event_type,r0_km,y_max
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,12.092301216431002,0.3106330319219105
hurricane_beryl_across_southeastern_texas_us,"Hurricane Beryl Across Southeastern Texas, US",hurricane,451.41119517976335,0.5645143887190256
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,245.99435367854602,0.8825024142458459
hurricane_ernesto_puerto_rico_14_august_2024,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,,0.1981943230175507
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,,0.18275379175042583
hurricane_john_across_southeastern_guerrero_mexico,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,461.8070701167509,0.21797467439256968
hurricane_john_southern_mexico_25_september_2024,Hurricane John Southern Mexico 25 September 2024,hurricane,,0.12646592430430026
hurricane_milton_across_florida_us,"Hurricane Milton Across Florida, US",hurricane,,
line_fire_southern_california_9_september_2024,Line Fire Southern California 9 September 2024,wildfire,,0.07684455030983428
park_fire_2024,"The Park Fire in Northern California, US",wildfire,268.45021886586926,0.32571335308615135
park_fire_california_29_july_2024,Park Fire California 29 July 2024,wildfire,300.91852641512594,0.6068326583745911
the_flooding_across_bagmati_and_koshi_provinces_nepal,"The Flooding Across Bagmati and Koshi Provinces, Nepal",flood,10.393637574302321,1.0
the_flooding_across_eastern_bangladesh,The Flooding Across Eastern Bangladesh,flood,,0.23501170983485453
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India",flood,139.77514954962516,0.1856587216409985
the_flooding_in_benue_and_kogi_states_nigeria,"The Flooding in Benue and Kogi States, Nigeria",flood,374.48730667863094,0.5516366382603703
the_flooding_in_conakry_city_conakry_guinea,"The Flooding in Conakry City, Conakry, Guinea",flood,126.97607849885966,1.0
the_wildfires_in_quito_pichincha_province_ecuador,"The Wildfires in Quito, Pichincha Province, Ecuador",wildfire,,0.45353660749336777
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,11.428411604757141,0.5106864159601909
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,"Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",tropical_storm,,0.13042296549419552
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,380.81526234827834,0.1326867345790066
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,,0.1559656607976876
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,21.40542536669306,0.796668733380969
typhoon_krathon_across_taiwan,Typhoon Krathon Across Taiwan,typhoon,231.031739445448,0.308476261314207
typhoon_yagi_across_northeastern_vietnam,Typhoon Yagi Across Northeastern Vietnam,typhoon,,0.9528212788845847
wildfires_in_boise_county_idaho_27_august_2024,Wildfires In Boise County Idaho 27 August 2024,wildfire,,0.1514733604267231
