r_bin_km,phi_mean,n_tiles_mean,n_tiles_crisis_mean,n_tiles_overlap_mean,n_eff_mean,r_center_km,abs_dev
0.0,0.9749440109810312,920.25,919.5,879.75,919.5,5.0,0.02505598901896877
10.0,0.8318897934592976,782.5,771.0,736.0,771.0,15.0,0.1681102065407024
20.0,0.8023143874659777,829.5,823.75,784.5,823.75,25.0,0.19768561253402228
30.0,0.8310405533722179,859.5,850.25,819.0,850.25,35.0,0.16895944662778206
40.0,0.8498895736459522,848.75,849.25,812.0,848.75,45.0,0.1501104263540478
50.0,0.8978447614499949,750.25,721.0,688.5,721.0,55.0,0.10215523855000508
60.0,0.936382484263178,605.0,609.0,565.0,605.0,65.0,0.06361751573682195
70.0,0.9786456899778926,518.75,515.25,480.25,515.25,75.0,0.021354310022107414
80.0,0.9825513240306964,461.75,472.75,431.0,461.75,85.0,0.01744867596930355
90.0,0.90782842416356,370.5,372.0,337.5,370.5,95.0,0.09217157583643998
100.0,0.9016518037368956,399.0,399.25,365.5,399.0,105.0,0.09834819626310443
110.0,0.9459840579221757,421.25,437.5,396.25,421.25,115.0,0.05401594207782434
120.0,0.99137478101725,451.25,452.75,416.0,451.25,125.0,0.008625218982750038
130.0,0.9845676853518951,426.25,431.25,394.75,426.25,135.0,0.015432314648104906
140.0,0.9654240104015523,472.5,473.0,443.0,472.5,145.0,0.034575989598447654
150.0,0.9670887746951057,416.5,422.5,387.25,416.5,155.0,0.03291122530489432
160.0,0.9778225687121767,503.5,505.0,470.75,503.5,165.0,0.022177431287823346
170.0,0.9563828555761068,621.25,621.0,586.0,621.0,175.0,0.043617144423893195
180.0,0.9712172618112884,721.25,719.0,692.75,719.0,185.0,0.028782738188711576
190.0,0.9754585904825563,755.75,757.0,724.5,755.75,195.0,0.024541409517443658
200.0,0.9682146402145196,842.75,840.5,811.25,840.5,205.0,0.03178535978548036
210.0,0.9655995704419614,790.75,784.25,756.5,784.25,215.0,0.03440042955803857
220.0,0.9772269706123966,757.25,754.5,732.25,754.5,225.0,0.022773029387603394
230.0,0.9713788387768187,720.0,721.25,691.75,720.0,235.0,0.028621161223181257
240.0,0.9762846818938814,665.25,668.25,642.0,665.25,245.0,0.0237153181061186
250.0,0.9660155908504808,497.25,492.5,472.0,492.5,255.0,0.03398440914951917
260.0,0.9695039265233106,435.0,435.25,413.75,435.0,265.0,0.030496073476689367
270.0,0.9762105793338972,413.75,407.5,391.5,407.5,275.0,0.02378942066610279
280.0,0.9731405014600747,337.75,337.5,322.25,337.5,285.0,0.02685949853992531
290.0,0.9598691758049688,164.0,161.25,149.0,161.25,295.0,0.04013082419503122
300.0,0.9603341338788252,102.75,98.75,94.5,98.75,305.0,0.03966586612117484
310.0,0.9227846614551551,84.25,85.25,81.5,84.25,315.0,0.07721533854484486
