r_left_km,r_right_km,r_center_km,mean_delta_r_w,sum_w,n_od,window_start_pt,hours_since_quake
0.0,20.0,10.0,0.047007742084480705,14093.0,99,2024-07-29 08:00:00,-8.0
10.0,30.0,20.0,0.07644336855675846,54032.0,384,2024-07-29 08:00:00,-8.0
20.0,40.0,30.0,0.08751458718544437,93247.0,688,2024-07-29 08:00:00,-8.0
30.0,50.0,40.0,0.030097674364808345,89249.0,751,2024-07-29 08:00:00,-8.0
40.0,60.0,50.0,-0.07631627443574347,56574.0,625,2024-07-29 08:00:00,-8.0
50.0,70.0,60.0,-0.06919007876109616,29062.0,435,2024-07-29 08:00:00,-8.0
60.0,80.0,70.0,0.045805207385580894,20298.0,331,2024-07-29 08:00:00,-8.0
70.0,90.0,80.0,0.0901582445101325,27370.0,387,2024-07-29 08:00:00,-8.0
80.0,100.0,90.0,0.10393656115755592,40869.0,574,2024-07-29 08:00:00,-8.0
90.0,110.0,100.0,0.055573754989404506,73735.0,803,2024-07-29 08:00:00,-8.0
100.0,120.0,110.0,0.04192108370770634,87003.0,837,2024-07-29 08:00:00,-8.0
110.0,130.0,120.0,0.042621812070995906,96668.0,1032,2024-07-29 08:00:00,-8.0
120.0,140.0,130.0,0.100697306836861,108359.0,1229,2024-07-29 08:00:00,-8.0
130.0,150.0,140.0,0.12688477715349084,98413.0,1171,2024-07-29 08:00:00,-8.0
140.0,160.0,150.0,-0.11169492787785561,118481.0,1350,2024-07-29 08:00:00,-8.0
150.0,170.0,160.0,-0.29423654368779656,86351.0,995,2024-07-29 08:00:00,-8.0
160.0,180.0,170.0,-0.4957792467764308,20737.0,338,2024-07-29 08:00:00,-8.0
170.0,190.0,180.0,-0.32943140347300637,8751.0,199,2024-07-29 08:00:00,-8.0
180.0,200.0,190.0,0.028713047132958885,8924.0,200,2024-07-29 08:00:00,-8.0
190.0,210.0,200.0,0.0775569109883403,13678.0,250,2024-07-29 08:00:00,-8.0
200.0,220.0,210.0,-0.0347016099072564,10237.0,167,2024-07-29 08:00:00,-8.0
210.0,230.0,220.0,-0.07054612477743136,1712.0,38,2024-07-29 08:00:00,-8.0
220.0,240.0,230.0,-0.0029814872010680013,2562.0,61,2024-07-29 08:00:00,-8.0
230.0,250.0,240.0,-0.026111278883796166,3034.0,70,2024-07-29 08:00:00,-8.0
240.0,260.0,250.0,-0.07980273124225346,897.0,25,2024-07-29 08:00:00,-8.0
250.0,270.0,260.0,0.0,351.0,11,2024-07-29 08:00:00,-8.0
260.0,280.0,270.0,0.03438623228955449,668.0,17,2024-07-29 08:00:00,-8.0
270.0,290.0,280.0,0.037048392208745805,620.0,17,2024-07-29 08:00:00,-8.0
