window_start_pt,hours_since_quake,n_od,total_flow_crisis,total_flow_baseline,f_long_crisis,f_long_baseline
2024-07-29 08:00:00,-8.0,7212,615373.0,586967.0011985734,0.00011537717774422993,1.9095327995178638e-05
2024-07-30 08:00:00,16.0,7609,612229.0,579803.4536758233,3.4300890679794655e-05,2.340694675995593e-05
2024-07-31 08:00:00,40.0,7554,607856.0,578015.3297587876,9.212708273012029e-05,1.816560817579314e-05
2024-08-01 08:00:00,64.0,7600,612289.0,584408.9443191218,4.736325493353629e-05,0.0
2024-08-02 08:00:00,88.0,7413,624015.0,590246.1579885788,7.051112553384133e-05,2.2720610234700305e-05
2024-08-03 08:00:00,112.0,6031,656953.0,619822.7342654489,1.6743967985533213e-05,0.0
2024-08-04 08:00:00,136.0,5687,666635.0,637378.0501180731,3.300156757445979e-05,2.1622636540202537e-05
2024-08-05 08:00:00,160.0,7298,615375.0,586967.0011985734,4.387568555758684e-05,1.9095327995178638e-05
2024-08-06 08:00:00,184.0,7629,610116.0,579803.4536758233,7.047840082869487e-05,2.340694675995593e-05
2024-08-07 08:00:00,208.0,7771,617202.0,578015.3297587875,6.642881909002239e-05,1.8165608175793143e-05
2024-08-08 08:00:00,232.0,7597,607904.0,584408.9443191218,4.276991103858504e-05,0.0
2024-08-09 08:00:00,256.0,7508,625112.0,590246.1579885789,5.2790539935243604e-05,2.27206102347003e-05
2024-08-10 08:00:00,280.0,6048,652803.0,619822.7342654488,0.0,0.0
2024-08-11 08:00:00,304.0,5612,662948.0,637378.0501180731,8.447118024339767e-05,2.1622636540202537e-05
2024-08-12 08:00:00,328.0,7514,619222.0,586967.0011985734,8.559127421183357e-05,1.9095327995178638e-05
2024-08-13 08:00:00,352.0,7885,611458.0,579803.4536758233,3.4344141380111145e-05,2.340694675995593e-05
2024-08-14 08:00:00,376.0,8128,633912.0,578015.3297587876,4.732518078219059e-05,1.816560817579314e-05
