subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,12,-0.8741258741258742,0.00020071307332423182
selected_r2_ge_0p8,10,-0.7818181818181817,0.0075470077810678785
