window_start_pt,hours_since_quake,r_bin_km,n_tiles,n_tiles_crisis,n_tiles_overlap,baseline_sum,crisis_sum,baseline_sum_overlap,crisis_sum_overlap,phi_aggregate,phi_overlap,tile_overlap_ratio
2024-08-26 08:00:00,16.0,90.0,970,970,963,104426.58814675926,112523.78157810846,104257.95013283152,112439.70789834768,1.0775395766063864,1.0784761042691904,0.9927835051546392
2024-08-26 08:00:00,16.0,100.0,1037,1043,1029,117754.76341904752,121869.05852928608,117628.20116592884,121658.56329411484,1.0349395216870951,1.034263570200319,0.9922854387656702
2024-08-26 08:00:00,16.0,110.0,1041,1047,1024,138327.48565855564,145257.39826179948,137911.48751285137,144990.52619504105,1.0500978715130374,1.0513303047473113,0.983669548511047
2024-08-26 08:00:00,16.0,120.0,1185,1172,1158,174758.3899233223,175749.99651023504,173481.42883322295,175541.2079718103,1.005674157259905,1.011873196759104,0.9772151898734176
2024-08-26 08:00:00,16.0,130.0,1179,1181,1163,166772.01831047708,167570.61739746435,165475.18034334562,167348.9685843808,1.0047885676211012,1.011323681516148,0.986429177268872
2024-08-26 08:00:00,16.0,140.0,1183,1211,1176,94988.43827127964,102312.60545049352,94877.50157018402,101872.83562405453,1.0771058805946112,1.0737301671956003,0.9940828402366864
2024-08-26 08:00:00,16.0,150.0,1221,1246,1207,87344.11262516509,96886.93593383464,87089.41302158561,96415.63520613746,1.109255484105979,1.1070878980690833,0.9885339885339886
2024-08-26 08:00:00,16.0,160.0,1240,1269,1224,115187.56954651486,126105.81466197768,114986.67526427936,125503.1646620839,1.0947866610819823,1.0914583309208132,0.9870967741935484
2024-08-26 08:00:00,16.0,170.0,1152,1173,1131,88167.21552808664,95421.64605474076,87803.84761198178,94903.3137904696,1.0822803633210254,1.0808559803650224,0.9817708333333334
2024-08-26 08:00:00,16.0,180.0,918,933,900,68379.54967954129,75349.88839613434,67947.88593723965,74894.22281562584,1.1019360137535177,1.102230360556062,0.9803921568627452
2024-08-26 08:00:00,16.0,190.0,759,766,741,131236.04944116986,142455.9769809267,129938.97926011302,142130.92758403206,1.0854942493890485,1.093828259952028,0.9762845849802372
2024-08-26 08:00:00,16.0,200.0,705,722,698,323328.8135403623,345110.05707326,323119.9682196477,344803.3211136116,1.06736561240676,1.0671061990177722,0.9900709219858156
2024-08-26 08:00:00,16.0,210.0,633,637,624,108778.15751936058,117024.56313006158,108618.94023677838,116821.03206462144,1.0758093885643658,1.0755125377762234,0.985781990521327
2024-08-26 08:00:00,16.0,220.0,603,611,593,36345.685919832205,38742.10945693856,36149.40139339978,38509.659107341824,1.065934194842055,1.0652917509824378,0.9834162520729685
2024-08-26 08:00:00,16.0,230.0,535,524,517,37197.89095423126,37959.57940535185,36899.96381898978,37874.74165222479,1.0204766569173982,1.0264167693501465,0.966355140186916
2024-08-26 08:00:00,16.0,240.0,520,515,508,41360.46648746288,42619.97197284522,41195.63354614984,42535.74423904625,1.0304519168265212,1.0325304061993643,0.9769230769230768
2024-08-26 08:00:00,16.0,250.0,396,405,390,47106.67744649466,50418.81982621497,47006.102665766375,50164.79543659717,1.0703115260778548,1.0671975039770998,0.9848484848484848
2024-08-26 08:00:00,16.0,260.0,339,339,333,22885.64771887355,24167.05004982626,22760.454022123788,24083.258876982323,1.0559915256362156,1.058118561851742,0.9823008849557522
2024-08-26 08:00:00,16.0,270.0,309,317,306,30580.479732818265,32956.23616897476,30447.90441442458,32751.932727396383,1.07768865815427,1.0756711621795647,0.9902912621359224
2024-08-26 08:00:00,16.0,280.0,258,260,254,22019.77464002097,24071.60286799421,21906.455425979824,23952.28895979756,1.093181163818273,1.093389528065389,0.9844961240310076
2024-08-26 08:00:00,16.0,290.0,227,230,226,33676.80615856013,33793.503274293995,33631.05055595898,33737.36905101332,1.0034652073354111,1.003161319474021,0.9955947136563876
2024-08-26 08:00:00,16.0,300.0,193,194,193,15292.479942545306,15720.733491634825,15292.479942545306,15710.16956458576,1.0280041923022618,1.0273134000247008,1.0
2024-08-26 08:00:00,16.0,310.0,154,154,152,7893.595492264036,8435.725203001912,7870.146776270996,8411.486335311249,1.068679692450567,1.068783921625506,0.987012987012987
2024-08-26 08:00:00,16.0,320.0,127,129,126,16114.552448250954,17025.08019662501,16095.237443468865,16991.017639301263,1.0565034462668483,1.0556549848350258,0.9921259842519684
2024-08-26 08:00:00,16.0,330.0,88,87,86,5606.718991957574,6071.728896076375,5553.895386206783,6037.52575186981,1.0829379722411314,1.0870794878247316,0.9772727272727272
2024-08-26 08:00:00,16.0,340.0,35,34,33,1246.0970497790902,1381.6840017282875,1221.3379541258769,1340.9360913191842,1.1088093033951365,1.0979238684831545,0.9428571428571428
2024-08-26 08:00:00,16.0,350.0,13,12,12,1615.4097249953145,1759.7893639771844,1596.8739461788111,1759.7893639771844,1.089376482478641,1.1020214639910786,0.9230769230769232
2024-08-26 08:00:00,16.0,360.0,12,12,12,2397.116980201721,2387.735409617124,2397.116980201721,2387.735409617124,0.9960863109051076,0.9960863109051076,1.0
2024-08-26 08:00:00,16.0,370.0,13,12,12,1194.9701728882244,1427.1239576001324,1183.8896781893984,1427.1239576001324,1.194275798659305,1.2054535011933951,0.9230769230769232
2024-08-26 08:00:00,16.0,380.0,1,1,1,60.9971742124752,64.62150351520091,60.9971742124752,64.62150351520091,1.0594179869726563,1.0594179869726563,1.0
2024-08-27 08:00:00,40.0,0.0,64,64,64,742242.102593058,775490.2120184228,742242.102593058,775490.2120184228,1.044794157201823,1.044794157201823,1.0
2024-08-27 08:00:00,40.0,10.0,185,185,185,648406.8495169133,680691.782232052,648406.8495169133,680691.782232052,1.0497911654375522,1.0497911654375522,1.0
2024-08-27 08:00:00,40.0,20.0,312,307,307,311045.1855869699,330873.2619033136,310861.6380095546,330873.2619033136,1.0637466105734006,1.0643746974438315,0.9839743589743588
2024-08-27 08:00:00,40.0,30.0,377,372,367,187343.9650434658,197807.82923493965,187109.56362891948,197720.28864467336,1.0558537564262938,1.056708619324223,0.973474801061008
2024-08-27 08:00:00,40.0,40.0,539,538,536,121763.18362566826,129120.21950373746,121709.3853075731,129085.03858312196,1.0604208567729851,1.0606005301637975,0.9944341372912802
2024-08-27 08:00:00,40.0,50.0,666,664,663,118407.81004346084,125564.03089250968,118256.4782738167,125546.268340883,1.060437067845628,1.0616438961609118,0.9954954954954957
2024-08-27 08:00:00,40.0,60.0,801,801,799,123335.39169442096,129352.55091964954,123288.4465797801,129324.19745471144,1.0487869632760145,1.0489563381028215,0.9975031210986268
2024-08-27 08:00:00,40.0,70.0,843,840,835,135320.5269174991,139971.44068755585,135199.96611673647,139892.50552112045,1.0343696102579638,1.0347081403876408,0.9905100830367736
2024-08-27 08:00:00,40.0,80.0,936,937,931,160735.24187841103,165612.70200099403,160366.79023296465,165435.0409444576,1.0303446840007406,1.031604116439135,0.9946581196581196
2024-08-27 08:00:00,40.0,90.0,972,968,962,111366.92219210336,112122.58546560076,111097.78633745496,112033.38775464593,1.0067853475576338,1.008421422676678,0.9897119341563786
2024-08-27 08:00:00,40.0,100.0,1038,1040,1029,125087.4072847545,122014.24183773852,124959.53865777314,121856.01909975486,0.9754318559020086,0.9751638042893396,0.9913294797687862
2024-08-27 08:00:00,40.0,110.0,1041,1047,1028,145377.6134996835,143965.12255501022,145123.1958593405,143733.03322622617,0.9902839858856513,0.9904208102303524,0.9875120076849184
2024-08-27 08:00:00,40.0,120.0,1189,1187,1175,182033.97673181412,176398.2250936246,181829.6293321949,176261.97913189718,0.9690401114156147,0.9693798517835296,0.9882253994953742
2024-08-27 08:00:00,40.0,130.0,1183,1169,1154,173571.4709150056,167542.59556063882,172793.56043807513,167322.8116245147,0.965265747172708,0.968339394131988,0.9754860524091292
2024-08-27 08:00:00,40.0,140.0,1194,1191,1169,100974.77415273516,100482.91495910689,100624.5662910381,100220.71857043968,0.9951288903812324,0.9959865892049624,0.9790619765494136
2024-08-27 08:00:00,40.0,150.0,1229,1219,1192,93253.9251779532,94271.086722599,92749.22879229016,93912.1390554611,1.0109074394745827,1.0125382202991169,0.969894222945484
2024-08-27 08:00:00,40.0,160.0,1246,1268,1228,120635.7121895474,124522.54509412604,120335.5492382473,123978.67330507608,1.032219587666308,1.0302747117530158,0.985553772070626
2024-08-27 08:00:00,40.0,170.0,1164,1171,1139,92659.6605610941,94334.291744358,92327.2107138737,93925.24316041628,1.018072925943429,1.017308358328889,0.9785223367697594
2024-08-27 08:00:00,40.0,180.0,922,931,907,72132.26241678235,74197.43615005612,71854.24956056516,73705.60960897716,1.0286303751481014,1.025765491390339,0.9837310195227764
2024-08-27 08:00:00,40.0,190.0,760,768,745,135520.16441614323,140722.78946790687,134736.06551408203,140385.818631463,1.0383900438298457,1.0419320031041763,0.9802631578947368
2024-08-27 08:00:00,40.0,200.0,705,715,698,327693.0921149815,340448.1330205408,327407.7436290291,340212.6858121677,1.0389237405745613,1.0391100773647166,0.9900709219858156
2024-08-27 08:00:00,40.0,210.0,638,631,622,111551.72016597414,115032.50129058283,111172.28315379888,114734.43805487108,1.0312032940364322,1.0320417535739932,0.974921630094044
2024-08-27 08:00:00,40.0,220.0,606,611,587,38030.18718396204,37704.952877955526,37705.22554504508,37366.19118797216,0.9914479961817364,0.9910082925596644,0.9686468646864688
2024-08-27 08:00:00,40.0,230.0,538,527,518,38298.32396832624,36743.47758359499,37891.71324556287,36613.09129888618,0.9594017120431394,0.9662558950979496,0.9628252788104088
2024-08-27 08:00:00,40.0,240.0,520,512,503,42620.078559818445,41734.48329040063,42247.98975075905,41620.72096994985,0.9792211722891392,0.9851526952049136,0.9673076923076924
2024-08-27 08:00:00,40.0,250.0,398,397,393,48446.23517214583,49056.10368270333,48338.18254456024,48970.67891826357,1.0125885635569083,1.0130848190893451,0.9874371859296482
2024-08-27 08:00:00,40.0,260.0,344,340,336,24161.21233026518,23692.3342824878,24055.654969833697,23634.053491282943,0.9805937698254468,0.982473913968277,0.9767441860465116
2024-08-27 08:00:00,40.0,270.0,310,309,304,31649.19724281895,32215.494965723577,31529.271369423128,32152.044137263296,1.0178929569227262,1.019752209321403,0.9806451612903224
2024-08-27 08:00:00,40.0,280.0,258,257,250,22777.642986602783,23651.20552336116,22606.79349388105,23498.91258948298,1.038351752956712,1.0394624339733716,0.9689922480620154
2024-08-27 08:00:00,40.0,290.0,227,230,225,34318.16424331312,33424.281289610204,34177.03360000052,33351.96405990212,0.973953066155714,0.9758589481534644,0.9911894273127754
2024-08-27 08:00:00,40.0,300.0,193,191,191,15897.604325052727,15431.34697967288,15838.881594919849,15431.34697967288,0.9706712196475364,0.974269987889948,0.9896373056994818
2024-08-27 08:00:00,40.0,310.0,154,154,152,8297.532706464412,8307.75532381871,8273.66597530708,8276.591622236407,1.001232006876735,1.000353609504911,0.987012987012987
2024-08-27 08:00:00,40.0,320.0,127,125,125,16499.73162792282,16074.446387172551,16464.236323886184,16074.446387172551,0.97422471768992,0.9763250521284048,0.984251968503937
2024-08-27 08:00:00,40.0,330.0,87,84,84,5824.940787170384,5712.724287087783,5676.169623961889,5712.724287087783,0.9807351689600412,1.0064400230344737,0.9655172413793104
2024-08-27 08:00:00,40.0,340.0,36,35,34,1325.891363407317,1254.3119267326883,1302.9249786429623,1234.0021895484915,0.9460141014187756,0.9471014907042028,0.9444444444444444
2024-08-27 08:00:00,40.0,350.0,14,12,12,1645.331172358808,1673.091282293668,1613.6645581393948,1673.091282293668,1.0168720500779562,1.0368271855848368,0.8571428571428571
2024-08-27 08:00:00,40.0,360.0,13,12,12,2421.7385992373684,2369.7650022471216,2400.2456471546866,2369.7650022471216,0.9785387254402216,0.987301031065842,0.9230769230769232
2024-08-27 08:00:00,40.0,370.0,13,12,12,1285.112113398296,1404.1316323309288,1274.731973568546,1404.1316323309288,1.0926141133460352,1.1015112678158807,0.9230769230769232
2024-08-27 08:00:00,40.0,380.0,1,2,1,66.06764383752171,92.62258822105672,66.06764383752171,68.25857125984702,1.4019356956158575,1.0331618822023287,1.0
2024-08-28 08:00:00,64.0,0.0,64,64,64,778449.1538178669,776433.4135534328,778449.1538178669,776433.4135534328,0.9974105691366636,0.9974105691366636,1.0
2024-08-28 08:00:00,64.0,10.0,185,185,185,681777.2808556769,678310.5937440097,681777.2808556769,678310.5937440097,0.9949152205434064,0.9949152205434064,1.0
2024-08-28 08:00:00,64.0,20.0,312,306,305,330152.0917897464,329440.56740112364,329945.5747336622,329405.1162058824,0.9978448587595928,0.9983619767344476,0.9775641025641024
2024-08-28 08:00:00,64.0,30.0,381,371,369,200464.67478680864,198072.4953724574,200133.01074173435,198026.50281006348,0.9880668281486736,0.9894744603907986,0.968503937007874
2024-08-28 08:00:00,64.0,40.0,543,542,539,131132.2611364919,128131.25324276157,131077.44470140836,128081.27420404687,0.9771146484646772,0.9771419827096364,0.992633517495396
2024-08-28 08:00:00,64.0,50.0,666,658,657,126752.2757470065,124883.7691892586,126509.59215818175,124866.56774497656,0.9852585955815312,0.9870126495139526,0.9864864864864864
2024-08-28 08:00:00,64.0,60.0,801,800,797,131848.4444188226,129227.48912575304,131744.2356124466,129160.38220641308,0.9801214545638176,0.9803873513401036,0.9950062421972534
2024-08-28 08:00:00,64.0,70.0,844,844,839,144163.19209134637,139118.63557630533,144082.33876936563,139033.9840106498,0.9650080131976776,0.9649620154570312,0.9940758293838864
2024-08-28 08:00:00,64.0,80.0,943,936,933,169301.73944011595,164871.35041992646,168276.2837989835,164815.68179960473,0.9738314028264512,0.9794349986744856,0.9893955461293744
