"start_latitude","start_longitude","end_latitude","end_longitude","length_km","start_quadkey","end_quadkey","country","date_time","n_baseline","n_crisis","n_difference","percent_change","z_score","ds"
"17.863746776877754","-76.47583007812499","17.863746776877754","-76.47583007812499","0.0","03221023100313","03221023100313","JM","2025-11-17 16:00","13.833333333333334","17.0","3.166666666666666","21.34831460674157","0.8661453768270289","2025-11-17"
"18.531699989972637","-70.037841796875","18.531699989972637","-70.037841796875","0.0","03221130201302","03221130201302","DO","2025-11-17 16:00","2941.1666666666665","2786.0","-155.16666666666652","-5.27389112332181","-2.0716960205803163","2025-11-17"
"18.531699989972637","-70.037841796875","18.531699989972637","-70.05981445312499","2.31656413495384","03221130201302","03221130201213","DO","2025-11-17 16:00","47.166666666666664","53.0","5.833333333333336","12.110726643598621","1.353785392626118","2025-11-17"
"18.531699989972637","-70.037841796875","18.510865391985682","-69.993896484375","5.180310436370514","03221130201302","03221130201330","DO","2025-11-17 16:00","22.666666666666668","18.0","-4.666666666666668","-19.718309859154935","-1.4856672599230316","2025-11-17"
"18.531699989972637","-70.037841796875","18.531699989972637","-69.993896484375","4.633128261309211","03221130201302","03221130201312","DO","2025-11-17 16:00","15.0","18.0","3.0","18.75","0.6396021490668314","2025-11-17"
"18.531699989972637","-70.037841796875","18.510865391985682","-70.037841796875","2.3167052311516705","03221130201302","03221130201320","DO","2025-11-17 16:00","100.0","90.0","-10.0","-9.900990099009901","-1.2235219605809908","2025-11-17"
"18.531699989972637","-70.037841796875","18.469188587923547","-69.971923828125","9.830144299834899","03221130201302","03221130203111","DO","2025-11-17 16:00","10.5","","","","","2025-11-17"
"18.531699989972637","-70.037841796875","18.55253204866865","-70.037841796875","2.3164228744386173","03221130201302","03221130201300","DO","2025-11-17 16:00","21.0","21.0","0.0","0.0","0.0","2025-11-17"
"18.531699989972637","-70.037841796875","18.469188587923547","-69.92797851562501","13.51024100694209","03221130201302","03221130212001","DO","2025-11-17 16:00","11.5","","","","","2025-11-17"
"18.531699989972637","-70.037841796875","18.469188587923547","-69.993896484375","8.35401626692667","03221130201302","03221130203110","DO","2025-11-17 16:00","","10.0","","","","2025-11-17"
"18.531699989972637","-70.037841796875","18.510865391985682","-70.059814453125","3.2763159829651785","03221130201302","03221130201231","DO","2025-11-17 16:00","14.833333333333334","","","","","2025-11-17"
