slug,preprocess_status,n_units_fit,selected
flooding_in_central_and_eastern_europe_sept_16_2024,ok,359,True
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,ok,86,True
hurricane_beryl_across_southeastern_texas_us,ok,203,True
hurricane_john_southern_mexico_25_september_2024,ok,267,True
spain_flood,ok,179,True
the_earthquake_across_central_mexico,ok,0,True
the_flooding_across_eastern_bangladesh,ok,23,True
turkiye_earthquake_2023,ok,257,True
typhoon_yagi_across_northeastern_vietnam,ok,16,True
wildfires_in_boise_county_idaho_27_august_2024,ok,20,True
