r_bin_km,phi_mean,n_tiles_mean,n_tiles_overlap_mean,path_coverage_frac_mean,r_center_km,abs_dev
0.0,1.0967195336098452,583.0,557.6666666666666,0.3333333333333333,5.0,0.0967195336098452
10.0,1.0934620535599144,645.6666666666666,619.6666666666666,0.3333333333333333,15.0,0.09346205355991444
20.0,1.080658207977179,606.3333333333334,586.6666666666666,0.3333333333333333,25.0,0.08065820797717893
30.0,1.0870908189290471,524.6666666666666,503.0,0.3333333333333333,35.0,0.08709081892904713
40.0,1.0112454572114722,583.6666666666666,568.3333333333334,0.3333333333333333,45.0,0.011245457211472187
50.0,1.017701731107067,578.0,563.3333333333334,0.3333333333333333,55.0,0.017701731107067076
60.0,1.0789334885113486,556.0,534.3333333333334,0.3333333333333333,65.0,0.07893348851134863
70.0,1.1051467934407413,560.0,542.3333333333334,0.3333333333333333,75.0,0.10514679344074129
80.0,1.1258232203833975,537.3333333333334,514.0,0.3333333333333333,85.0,0.12582322038339755
90.0,1.1195415768437422,513.6666666666666,499.6666666666667,0.3333333333333333,95.0,0.11954157684374223
100.0,1.1246956655068274,494.6666666666667,484.3333333333333,0.3333333333333333,105.0,0.12469566550682742
110.0,1.1540447146921788,454.6666666666667,443.0,0.3333333333333333,115.0,0.15404471469217884
120.0,1.154017967679455,418.6666666666667,409.0,0.3333333333333333,125.0,0.15401796767945508
130.0,1.1384032728495563,412.6666666666667,406.0,0.3333333333333333,135.0,0.13840327284955634
140.0,1.1540529248216913,407.6666666666667,397.3333333333333,0.3333333333333333,145.0,0.1540529248216913
150.0,1.1751916974191774,424.0,412.6666666666667,0.3333333333333333,155.0,0.1751916974191774
160.0,1.1409257309743934,342.3333333333333,334.0,0.3333333333333333,165.0,0.14092573097439343
170.0,1.1076909808655986,292.0,284.3333333333333,0.3333333333333333,175.0,0.10769098086559858
180.0,1.144918602100992,305.6666666666667,299.0,0.3333333333333333,185.0,0.14491860210099206
190.0,1.1269626553743952,263.3333333333333,256.3333333333333,0.3333333333333333,195.0,0.12696265537439522
200.0,1.147307893049956,251.66666666666666,248.33333333333334,0.3333333333333333,205.0,0.14730789304995606
210.0,1.1530861698308932,213.66666666666666,211.0,0.3333333333333333,215.0,0.15308616983089318
220.0,1.1590519375326753,220.0,217.33333333333334,0.3333333333333333,225.0,0.15905193753267532
230.0,1.1427768830788598,226.66666666666666,225.0,0.25,235.0,0.14277688307885983
240.0,1.1399308106813748,158.0,157.66666666666666,0.1666666666666666,245.0,0.1399308106813748
250.0,1.129685955311766,125.33333333333333,124.33333333333333,0.1666666666666666,255.0,0.12968595531176597
260.0,1.1145891357534488,105.33333333333333,101.66666666666667,0.1666666666666666,265.0,0.11458913575344876
270.0,1.1221819834374414,118.0,117.0,0.1666666666666666,275.0,0.12218198343744135
280.0,1.1078521297032378,115.66666666666667,111.66666666666667,0.1666666666666666,285.0,0.10785212970323776
290.0,1.1318357394257548,54.333333333333336,52.666666666666664,0.1666666666666666,295.0,0.13183573942575477
300.0,2.5438178757647125,2.3333333333333335,1.6666666666666667,0.13888888888888884,305.0,1.5438178757647125
310.0,1.0574688912533896,10.666666666666666,9.333333333333334,0.0833333333333333,315.0,0.05746889125338961
320.0,0.9968553720026149,34.333333333333336,30.0,0.0833333333333333,325.0,0.00314462799738513
330.0,1.159281329217699,7.0,7.0,0.0833333333333333,335.0,0.1592813292176991
340.0,1.1175580568795436,7.0,7.0,0.0833333333333333,345.0,0.11755805687954357
